case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex223,ex223_log_nested_low12_hi5_abc_g_aig,fp16_log,log_nested_low12_hi5,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/verilog/ex223_log_nested_low12_hi5.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/aigs/ex223_log_nested_low12_hi5_abc_g_aig.aig,1,1,1,10770,19,204630,120549,1.697484,0,0,12.612,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26"
ex223,ex223_log_nested_low12_hi6_abc_g_aig,fp16_log,log_nested_low12_hi6,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/verilog/ex223_log_nested_low12_hi6.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/aigs/ex223_log_nested_low12_hi6_abc_g_aig.aig,1,1,1,11517,19,218823,120549,1.815220,0,0,13.972,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26"
ex223,ex223_log_nested_low13_hi5_abc_g_aig,fp16_log,log_nested_low13_hi5,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/verilog/ex223_log_nested_low13_hi5.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/aigs/ex223_log_nested_low13_hi5_abc_g_aig.aig,1,1,1,10754,19,204326,120549,1.694962,0,0,12.726,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26"
ex223,ex223_log_nested_low13_hi6_abc_g_aig,fp16_log,log_nested_low13_hi6,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/verilog/ex223_log_nested_low13_hi6.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex223/aigs/ex223_log_nested_low13_hi6_abc_g_aig.aig,1,1,1,11485,19,218215,120549,1.810177,0,0,14.105,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26"
ex224,ex224_log_nested_low12_hi5_abc_g_aig,fp16_log2,log_nested_low12_hi5,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/verilog/ex224_log_nested_low12_hi5.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/aigs/ex224_log_nested_low12_hi5_abc_g_aig.aig,1,1,1,5787,17,98379,64708,1.520353,0,0,9.228,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27"
ex224,ex224_log_nested_low12_hi6_abc_g_aig,fp16_log2,log_nested_low12_hi6,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/verilog/ex224_log_nested_low12_hi6.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/aigs/ex224_log_nested_low12_hi6_abc_g_aig.aig,1,1,1,6014,16,96224,64708,1.487050,1,0,11.520,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27"
ex224,ex224_log_nested_low13_hi5_abc_g_aig,fp16_log2,log_nested_low13_hi5,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/verilog/ex224_log_nested_low13_hi5.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/aigs/ex224_log_nested_low13_hi5_abc_g_aig.aig,1,1,1,5779,18,104022,64708,1.607560,0,0,8.647,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27"
ex224,ex224_log_nested_low13_hi6_abc_g_aig,fp16_log2,log_nested_low13_hi6,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/verilog/ex224_log_nested_low13_hi6.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex224/aigs/ex224_log_nested_low13_hi6_abc_g_aig.aig,1,1,1,5991,17,101847,64708,1.573948,0,0,10.844,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27"
ex225,ex225_log_nested_low12_hi5_abc_g_aig,fp16_log10,log_nested_low12_hi5,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex225/verilog/ex225_log_nested_low12_hi5.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex225/aigs/ex225_log_nested_low12_hi5_abc_g_aig.aig,1,1,1,11533,19,219127,116676,1.878081,0,0,12.277,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26"
ex225,ex225_log_nested_low12_hi6_abc_g_aig,fp16_log10,log_nested_low12_hi6,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex225/verilog/ex225_log_nested_low12_hi6.v,student/work/ex223_ex225_frontend_fp16_log_nested_followup4_20260607_2129/ex225/aigs/ex225_log_nested_low12_hi6_abc_g_aig.aig,1,1,1,12784,19,242896,116676,2.081799,0,0,14.424,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30645; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",semantic_structural_exact,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30645; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26"
