case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes,status,official_output_dir,runtime_sec
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig,ex297|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,OK,1,38899,27,1050273,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/verilog/ex297_r26_cellprefix_bridge_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/eval/ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig/ex297.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 1050273,OK,,26.559
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,ex297|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,OK,1,39589,30,1187670,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/verilog/ex297_r26_cellprefix_rotl2_residual_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/eval/ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig/ex297.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 1187670,OK,,25.410
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,ex297|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,OK,1,38841,27,1048707,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/verilog/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/eval/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig/ex297.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 1048707,OK,,25.035
ex299,unknown,unknown-large-r26,ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig,ex299|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,OK,1,146475,32,4687200,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/verilog/ex299_r26_cellprefix_bridge_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/eval/ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig/ex299.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/logs/ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 4687200,OK,,94.181
ex299,unknown,unknown-large-r26,ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,ex299|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,OK,1,151812,34,5161608,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/verilog/ex299_r26_cellprefix_rotl2_residual_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/eval/ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig/ex299.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/logs/ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 5161608,OK,,101.046
ex294,unknown,unknown-large-r26,ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_prefix_delta_descriptor_grouped_bdd|shared_stride2_prefix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,OK,1,76079,31,2358449,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/verilog/ex294_r26_stride2prefix_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/eval/ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig/ex294.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 2358449,OK,,43.810
ex294,unknown,unknown-large-r26,ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_suffix_delta_descriptor_grouped_bdd|shared_stride2_suffix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|adjacent_pairs,OK,1,71073,30,2132190,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/verilog/ex294_r26_stride2suffix_adjacent_adjacent_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/eval/ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig/ex294.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 2132190,OK,,43.474
ex294,unknown,unknown-large-r26,ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig,ex294|sparse_correction_over_a_shared_linear_rotation_base|stride2_prefix_delta_xor_rotr2_residual_bdd|shared_stride2_prefix_delta_key_wires_plus_xor_rotr2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|mod4_output_planes,OK,1,85540,31,2651740,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/verilog/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/eval/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig/ex294.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 2651740,OK,,49.751
ex295,unknown,unknown-large-r26,ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig,ex295|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,OK,1,9986,23,229678,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/verilog/ex295_r26_cellprefix_bridge_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/eval/ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig/ex295.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 229678,OK,,4.624
ex295,unknown,unknown-large-r26,ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,ex295|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,OK,1,10228,26,265928,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/verilog/ex295_r26_cellprefix_rotl2_residual_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/eval/ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig/ex295.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 265928,OK,,4.771
