case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation,prior_low_value_signatures_avoided,status,evidence_path,high_level_decision,shared_state,normalization_or_action,output_decode,avoids_prior_signature,shared_terms,independent_adp,shared_adp,delta_adp,area_delta,delay_delta
ex223,ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig,fp16_log with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus manual high-bit thresholds and nested low table,low14_hi5_nested_lut_with_manual_sign_and_bit14,medium,10772/19/204668,ex223|fp16_log_special_nested_minimality_recheck|low14_hi5_nested_lut_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low14_hi5_manual15_14_directspecial,sub-fp16-redesc-r75,"direct special shell plus nested low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=14; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_ln_thresholds",fp16_log_special_nested_minimality_recheck,direct special class shell plus manual high-bit thresholds and nested low table,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log_special_nested_minimality_recheck,low14_hi5_nested_lut_with_manual_sign_and_bit14,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex223,ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,fp16_log with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus manual high-bit thresholds and sparse residual defaults,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,medium,10735/19/203965,ex223|fp16_log_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,sub-fp16-redesc-r75,"direct special shell plus sparse low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:manual_exp_lt15; b14:manual_ln_thresholds",fp16_log_sparse_residual_minimality_recheck,direct special class shell plus manual high-bit thresholds and sparse residual defaults,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex225,ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig,fp16_log10 with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus high-bit run trees and sparse residual defaults,sparse_low14_hi5_residual_defaults_with_run_high_bits,medium,11537/19/219203,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_directspecial,sub-fp16-redesc-r75,"direct special shell plus sparse low14/hi5 and manual high bits none; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28",fp16_log10_sparse_residual_minimality_recheck,direct special class shell plus high-bit run trees and sparse residual defaults,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_run_high_bits,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex225,ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig,fp16_log10 with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus manual sign predicate and sparse residual defaults,sparse_low14_hi5_residual_defaults_with_manual_sign_only,medium,11525/19/218975,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_directspecial,sub-fp16-redesc-r75,"direct special shell plus sparse low14/hi5 and manual high bits 15; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:manual_exp_lt15; b14:runs=32,max=2,const=28",fp16_log10_sparse_residual_minimality_recheck,direct special class shell plus manual sign predicate and sparse residual defaults,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_only,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex225,ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,fp16_log10 with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus manual high-bit thresholds and sparse residual defaults,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,medium,11572/20/231440,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,sub-fp16-redesc-r75,"direct special shell plus sparse low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:manual_exp_lt15; b14:manual_log10_thresholds",fp16_log10_sparse_residual_minimality_recheck,direct special class shell plus manual high-bit thresholds and sparse residual defaults,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex225,ex225_r75_nested_low12_hi5_directspecial_abc_g_aig,fp16_log10 with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus high-bit run trees and nested low table,low12_hi5_nested_lut_with_run_high_bits,medium,11531/19/219089,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_directspecial,sub-fp16-redesc-r75,"direct special shell plus nested low12/hi5 and manual high bits none; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",fp16_log10_special_nested_minimality_recheck,direct special class shell plus high-bit run trees and nested low table,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log10_special_nested_minimality_recheck,low12_hi5_nested_lut_with_run_high_bits,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex225,ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig,fp16_log10 with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus manual sign predicate and nested low table,low12_hi5_nested_lut_with_manual_sign_only,medium,11540/19/219260,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_manual15_directspecial,sub-fp16-redesc-r75,"direct special shell plus nested low12/hi5 and manual high bits 15; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",fp16_log10_special_nested_minimality_recheck,direct special class shell plus manual sign predicate and nested low table,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log10_special_nested_minimality_recheck,low12_hi5_nested_lut_with_manual_sign_only,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex225,ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig,fp16_log10 with direct DAZ/FTZ/canonical-NaN shell and exact positive-normal mantissa action.,direct special class shell plus manual high-bit thresholds and nested low table,low13_hi5_nested_lut_with_manual_bits15_14_13,medium,11553/19/219507,ex225|fp16_log10_special_nested_minimality_recheck|low13_hi5_nested_lut_with_manual_bits15_14_13|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low13_hi5_manual15_14_13_directspecial,sub-fp16-redesc-r75,"direct special shell plus nested low13/hi5 and manual high bits 15,14,13; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_log10_thresholds; b13:manual_log10_thresholds",fp16_log10_special_nested_minimality_recheck,direct special class shell plus manual high-bit thresholds and nested low table,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/shared_structure_report.csv,fp16,fp16_log10_special_nested_minimality_recheck,low13_hi5_nested_lut_with_manual_bits15_14_13,"avoided r74 low10 exact repeats, round73 fullword/wordrun, round72 segdelta/flat-low9, r67/r68/r69 exact signatures",tested,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.evaluate.py.log,,,,,,,,,,,
ex240,description_decision,REFINE packed E4M3FN add high byte plus low byte; operation is known and weakness is diff cancellation plus final sign magnitude mux,shared sorted field decode; same-sign GRS; local diff normalizer; final sign/mag mux,full_word,high,pending,ex240|description_decision|refine_current_semantics|pre_rtl,sub-fp8-addhypot-redesc-r75,avoid broad active tables BDD fallback threshold quantizers and round73 low-cluster replay,add,sorted_decode_same_diff_paths,description_recorded,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E4M3FN packed add,description_refine,frontend_fp8_add_norm;active_region_table;lowcluster_correction,pending,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/notes/high_level_description.md,,,,,,,,,,,
ex244,description_decision,REFINE E4M3FN hypot abs high low; operation is known and weakness is max plus delta predicate depth,shared abs max/min decode; effective gap; max-plus-delta; saturation guard,full_word,high,pending,ex244|description_decision|refine_current_semantics|pre_rtl,sub-fp8-addhypot-redesc-r75,avoid rounded-distance classifier maxplus PLA whole BDD and field-compare-only replay,hypot,max_plus_delta_delta_bits,description_recorded,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E4M3FN packed hypot,description_refine,rounded_distance_code_predicates;maxplus_smallcorr_reduced_pla;field_compare_decode,pending,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/notes/high_level_description.md,,,,,,,,,,,
ex245,description_decision,REFINE packed E5M2FN add high byte plus low byte; operation is known and weakness is small-gap table selection fanout,shared sorted E5 decode; same/diff small-gap tables; active-region gating,full_word,high,pending,ex245|description_decision|refine_current_semantics|pre_rtl,sub-fp8-addhypot-redesc-r75,avoid full pair tables wide arithmetic threshold quantizers and selected-mag wrapper replay,add,small_gap_class_tables,description_recorded,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E5M2FN packed add,description_refine,frontend_fp8_e5m2_deeper;active_table_mux;selected_mag_function,pending,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/notes/high_level_description.md,,,,,,,,,,,
