round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,notes,shard_csv,stage,status,reason,artifact_path,variant,failure_reason,reuse_policy,evidence_path
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_aligner_lowcluster_corr,,E4M3FN packed add,shared normalize aligner plus exact low-cluster correction table,shared sorted E4 decode; high magnitude cluster selected first; only low cluster is corrected from the high-cluster context,"sorted operand decode, active same/diff aligner state, high cluster reuse, low cluster correction",repo_yosys_frontend_default,ex240|E4M3FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E4 decode; high magnitude cluster selected first; only low cluster is corrected from the high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_aligner_lowcluster_corr.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/aigs/ex240_r73_aligner_lowcluster_corr.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_aligner_lowcluster_corr.evaluate.py.log,"Do not repeat this exact round73 source/signature; round73 source family; not direct formula, low-bit overlay, branch/gap plane, signed adjustment, or normcarry residual",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_aligner_lowcluster_corr.v,aligner_lowcluster_correction,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_aligner_lowcluster_corr.evaluate.py.log
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_operand_class_cofactor_dag,,E4M3FN packed add,low-cost cofactor DAG by operand class,one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions,"operand-class selector, same/diff active cofactors, local gap subfunctions",repo_yosys_frontend_default,ex240|E4M3FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_operand_class_cofactor_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/aigs/ex240_r73_operand_class_cofactor_dag.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_operand_class_cofactor_dag.evaluate.py.log,"Do not repeat this exact round73 source/signature; materially different from r70 branch planes: class DAG controls small local functions, not full output branch planes",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,NOT_EQUIV,synthesis/evaluate failed or non-equivalent,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_operand_class_cofactor_dag.v,operand_class_cofactor_dag,NOT_EQUIV,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_operand_class_cofactor_dag.evaluate.py.log
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_aligner_lowcluster_corr,,E5M2FN packed add,shared normalize aligner plus exact low-cluster correction table,shared sorted E5 decode; high magnitude cluster selected first; low E5 mantissa cluster corrected from high-cluster context,"sorted operand decode, small-gap active state, high cluster reuse, low cluster correction",repo_yosys_frontend_default,ex245|E5M2FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E5 decode; high magnitude cluster selected first; low E5 mantissa cluster corrected from high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_aligner_lowcluster_corr.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/aigs/ex245_r73_aligner_lowcluster_corr.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_aligner_lowcluster_corr.evaluate.py.log,"Do not repeat this exact round73 source/signature; round73 source family; not gap-class formula replay, active-table copy, low-bit overlay, signed adjustment, or normcarry residual",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_aligner_lowcluster_corr.v,aligner_lowcluster_correction,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_aligner_lowcluster_corr.evaluate.py.log
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_operand_class_cofactor_dag,,E5M2FN packed add,low-cost cofactor DAG by operand class,one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions,"operand-class selector, same/diff active cofactors, local gap subfunctions",repo_yosys_frontend_default,ex245|E5M2FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_operand_class_cofactor_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/aigs/ex245_r73_operand_class_cofactor_dag.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_operand_class_cofactor_dag.evaluate.py.log,Do not repeat this exact round73 source/signature; materially different from r70 branch planes and r71 caseattrs/key-gate forms; exact local cofactor DAG only,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,NOT_EQUIV,synthesis/evaluate failed or non-equivalent,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_operand_class_cofactor_dag.v,operand_class_cofactor_dag,NOT_EQUIV,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_operand_class_cofactor_dag.evaluate.py.log
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_rounddist_code_classifier,,E4M3FN packed hypot,multi-output exact code classifier with shared rounded-distance predicates,shared max/min effective-exponent key feeds rounded-distance predicate flags reused by all delta bits,"max/min decode, rounded-distance predicate flags, shared max-plus assembler",repo_yosys_frontend_default,ex244|E4M3FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared max/min effective-exponent key feeds rounded-distance predicate flags reused by all delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_rounddist_code_classifier.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/aigs/ex244_r73_rounddist_code_classifier.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_rounddist_code_classifier.evaluate.py.log,"Do not repeat this exact round73 source/signature; not maxcode interval bank, gap correction ROM, square-score classifier, or r70 delta/ge threshold cells",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_rounddist_code_classifier.v,rounded_distance_code_predicates,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_rounddist_code_classifier.evaluate.py.log
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_maxplus_corr_pla,,E4M3FN packed hypot,max-code plus small correction as reduced multi-output PLA,shared max/min effective-exponent predicate vector drives one reduced multi-output correction PLA,"max/min decode, shared PLA predicate vector, max-plus correction assembler",repo_yosys_frontend_default,ex244|E4M3FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared max/min effective-exponent predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_maxplus_corr_pla.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/aigs/ex244_r73_maxplus_corr_pla.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_maxplus_corr_pla.evaluate.py.log,"Do not repeat this exact round73 source/signature; not threshold sums, gap correction ROM, maxcode interval bank, or square-score delta classifier",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_maxplus_corr_pla.v,maxplus_smallcorr_reduced_pla,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_maxplus_corr_pla.evaluate.py.log
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_rounddist_code_classifier,,E5M2FN packed hypot,multi-output exact code classifier with shared rounded-distance predicates,shared raw exponent and significand key feeds rounded-distance predicate flags reused by both delta bits,"raw max/min decode, rounded-distance predicate flags, shared saturation/max-plus assembler",repo_yosys_frontend_default,ex249|E5M2FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared raw exponent and significand key feeds rounded-distance predicate flags reused by both delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_rounddist_code_classifier.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/aigs/ex249_r73_rounddist_code_classifier.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_rounddist_code_classifier.evaluate.py.log,"Do not repeat this exact round73 source/signature; not threshold cube classifier, rawgap correction ROM, piecewise tiny mantissa, or square-score classifier",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_rounddist_code_classifier.v,rounded_distance_code_predicates,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_rounddist_code_classifier.evaluate.py.log
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_maxplus_corr_pla,,E5M2FN packed hypot,max-code plus small correction as reduced multi-output PLA,shared raw exponent/significand predicate vector drives one reduced multi-output correction PLA,"raw max/min decode, shared PLA predicate vector, max-plus correction assembler",repo_yosys_frontend_default,ex249|E5M2FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared raw exponent/significand predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_maxplus_corr_pla.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/aigs/ex249_r73_maxplus_corr_pla.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_maxplus_corr_pla.evaluate.py.log,"Do not repeat this exact round73 source/signature; not threshold sums, rawgap correction ROM, piecewise tiny mantissa, or square-score delta classifier",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/failed_hypotheses.csv,official_evaluate,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_maxplus_corr_pla.v,maxplus_smallcorr_reduced_pla,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_maxplus_corr_pla.evaluate.py.log
,,sub-unknown-r73,ex285,unknown,ex285_r73_twohot_direct_overlay,,hamming-weight routing source boundary factoring,exact popcount-2 direct source overlay on current exact source,reuse current source for all rows and override only two-hot rows with direct truth outputs,current source plus 66 exact two-hot row overrides,yosys_internal_abc_g_aig,ex285|hamming-weight routing source boundary factoring|exact popcount-2 direct source overlay on current exact source|reuse current source for all rows and override only two-hot rows with direct truth outputs|yosys_internal_abc_g_aig|official_evaluate|ex285_r73_twohot_direct_overlay,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/verilog/ex285_r73_twohot_direct_overlay.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/aigs/ex285_r73_twohot_direct_overlay.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_twohot_direct_overlay.evaluate.py.log,"round73 stats={'twohot_rows': 66, 'line_count': 82}; synth_sec=10.156; eval_sec=0.314",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/failed_hypotheses.csv,official_evaluate,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_twohot_direct_overlay.evaluate.py.log,twohot_direct_overlay,"ADP 13685 vs current 9132, frontend 11033, reference 5499",do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_twohot_direct_overlay.evaluate.py.log
,,sub-unknown-r73,ex285,unknown,ex285_r73_dualbit_outerkey_bdd,,compact BDD cofactor by alternate outer key,two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key,one inner-node pool shared across selected outputs and all outer-key cofactors,"current source plus dual-output outer-key BDD selected bits (2, 9)",yosys_internal_abc_g_aig,ex285|compact BDD cofactor by alternate outer key|two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key|one inner-node pool shared across selected outputs and all outer-key cofactors|yosys_internal_abc_g_aig|official_evaluate|ex285_r73_dualbit_outerkey_bdd,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/verilog/ex285_r73_dualbit_outerkey_bdd.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/aigs/ex285_r73_dualbit_outerkey_bdd.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_dualbit_outerkey_bdd.evaluate.py.log,"round73 stats={'selected_bits': (2, 9), 'outer': (0, 11, 5, 6), 'inner': (1, 10, 2, 9, 3, 8, 4, 7), 'bdd_nodes': 634, 'line_count': 699}; synth_sec=11.183; eval_sec=0.280",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/failed_hypotheses.csv,official_evaluate,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_dualbit_outerkey_bdd.evaluate.py.log,dualbit_outerkey_bdd,"ADP 27872 vs current 9132, frontend 11033, reference 5499",do_not_repeat_as_is,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_dualbit_outerkey_bdd.evaluate.py.log
