case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex215,ex215_bf16_reciprocal_sqrt_arith_semantic_fields,bf16_reciprocal_sqrt,reciprocal_sqrt,arith_semantic_fields,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_arith_semantic_fields.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_arith_semantic_fields.aig,1,1,408,13,5304,1.028,semantic model exact over 65536 inputs; semantic BF16 exponent/mantissa RTL; 256; sign_mode=nan; normal_table_entries=254
ex215,ex215_bf16_reciprocal_sqrt_aggr_semantic_field_reassembly,bf16_reciprocal_sqrt,reciprocal_sqrt,aggr_semantic_field_reassembly,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_aggr_semantic_field_reassembly.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_aggr_semantic_field_reassembly.aig,1,1,1405,15,21075,12.675,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=65536; semantic model exact over 65536 inputs
ex215,ex215_bf16_reciprocal_sqrt_aggr_semantic_positive_field_defaults,bf16_reciprocal_sqrt,reciprocal_sqrt,aggr_semantic_positive_field_defaults,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_aggr_semantic_positive_field_defaults.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_aggr_semantic_positive_field_defaults.aig,1,1,843,15,12645,7.381,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_exp_groups=256; full_default_groups=1; positive_exceptions=31624; relation=nan; negative_exceptions=128; semantic model exact over 65536 inputs
ex215,ex215_bf16_reciprocal_sqrt_legacy_exp_mant_delta_pair,bf16_reciprocal_sqrt,reciprocal_sqrt,legacy_exp_mant_delta_pair,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_legacy_exp_mant_delta_pair.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_legacy_exp_mant_delta_pair.aig,1,1,418,13,5434,5.735,semantic model exact over 65536 inputs; legacy bf16_verilog_search exp_mant_delta_pair; 32897
ex215,ex215_bf16_reciprocal_sqrt_legacy_positive_default_exp_mant_case,bf16_reciprocal_sqrt,reciprocal_sqrt,legacy_positive_default_exp_mant_case,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_legacy_positive_default_exp_mant_case.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_legacy_positive_default_exp_mant_case.aig,1,1,1016,14,14224,5.279,semantic model exact over 65536 inputs; legacy bf16_verilog_search positive_default_exp_mant_case; 32642; default=nan; exceptions=128
ex215,ex215_bf16_reciprocal_sqrt_legacy_positive_default_exp_mant_delta,bf16_reciprocal_sqrt,reciprocal_sqrt,legacy_positive_default_exp_mant_delta,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_legacy_positive_default_exp_mant_delta.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_legacy_positive_default_exp_mant_delta.aig,1,1,429,14,6006,5.042,semantic model exact over 65536 inputs; legacy bf16_verilog_search positive_default_exp_mant_delta; 32898; default=nan; exceptions=128
ex215,ex215_bf16_reciprocal_sqrt_legacy_default_expr_exception_case,bf16_reciprocal_sqrt,reciprocal_sqrt,legacy_default_expr_exception_case,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_legacy_default_expr_exception_case.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_legacy_default_expr_exception_case.aig,1,1,387,14,5418,14.375,semantic model exact over 65536 inputs; legacy bf16_verilog_search default_expr_exception_case; exceptions=32769; default=nan; matches=32767
ex215,ex215_bf16_reciprocal_sqrt_split_sign_word_h3,bf16_reciprocal_sqrt,reciprocal_sqrt,split_sign_word_h3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_split_sign_word_h3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_split_sign_word_h3.aig,1,1,773,13,10049,9.703,semantic model exact over 65536 inputs; split-sign word hi_bits=3 default_mode=mode items=29094
ex215,ex215_bf16_reciprocal_sqrt_split_sign_word_h4,bf16_reciprocal_sqrt,reciprocal_sqrt,split_sign_word_h4,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_split_sign_word_h4.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_split_sign_word_h4.aig,1,1,910,13,11830,23.160,semantic model exact over 65536 inputs; split-sign word hi_bits=4 default_mode=mode items=26308
ex215,ex215_bf16_reciprocal_sqrt_sep_fields_e3_m3_s3,bf16_reciprocal_sqrt,reciprocal_sqrt,sep_fields_e3_m3_s3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_sep_fields_e3_m3_s3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_sep_fields_e3_m3_s3.aig,1,1,913,14,12782,7.197,semantic model exact over 65536 inputs; separate fields exp_hi=3 mant_hi=3 sign_hi=3 items=30374
ex215,ex215_bf16_reciprocal_sqrt_hilo3_word_mode,bf16_reciprocal_sqrt,reciprocal_sqrt,hilo3_word_mode,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_hilo3_word_mode.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_hilo3_word_mode.aig,1,1,971,15,14565,9.362,semantic model exact over 65536 inputs; hi_lo split field_mode=False hi_bits=3 default_mode=default_override items=29094
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_first_hilo3,bf16_reciprocal_sqrt,reciprocal_sqrt,delta_pair_first_hilo3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_first_hilo3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_first_hilo3.aig,1,1,439,13,5707,10.098,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=29348
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_first_hilo4,bf16_reciprocal_sqrt,reciprocal_sqrt,delta_pair_first_hilo4,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_first_hilo4.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_first_hilo4.aig,1,1,425,14,5950,10.647,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo4 items=26562
ex216,ex216_bf16_cube_legacy_exp_mant_delta_pair,bf16_cube,cube,legacy_exp_mant_delta_pair,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_legacy_exp_mant_delta_pair.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_legacy_exp_mant_delta_pair.aig,1,1,498,14,6972,3.215,semantic model exact over 65536 inputs; legacy bf16_verilog_search exp_mant_delta_pair; 11434
ex216,ex216_bf16_cube_legacy_positive_default_exp_mant_delta,bf16_cube,cube,legacy_positive_default_exp_mant_delta,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_legacy_positive_default_exp_mant_delta.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_legacy_positive_default_exp_mant_delta.aig,1,1,494,15,7410,2.601,semantic model exact over 65536 inputs; legacy bf16_verilog_search positive_default_exp_mant_delta; 11561; default=sign_flip; exceptions=127
ex216,ex216_bf16_cube_legacy_default_expr_exception_case,bf16_cube,cube,legacy_default_expr_exception_case,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_legacy_default_expr_exception_case.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_legacy_default_expr_exception_case.aig,1,1,24001,27,648027,96.065,semantic model exact over 65536 inputs; legacy bf16_verilog_search default_expr_exception_case; exceptions=43670; default=sign_inf; matches=21866
ex216,ex216_bf16_cube_odd_pos_fullword_h3,bf16_cube,cube,odd_pos_fullword_h3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_odd_pos_fullword_h3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_odd_pos_fullword_h3.aig,1,1,774,13,10062,3.456,semantic model exact over 65536 inputs; positive-domain full word with odd sign flip hi_bits=3 default_mode=mode items=10845
ex216,ex216_bf16_cube_odd_pos_fullword_h4,bf16_cube,cube,odd_pos_fullword_h4,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_odd_pos_fullword_h4.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_odd_pos_fullword_h4.aig,1,1,745,13,9685,9.884,semantic model exact over 65536 inputs; positive-domain full word with odd sign flip hi_bits=4 default_mode=mode items=10856
ex216,ex216_bf16_cube_odd_pos_fullword_h5,bf16_cube,cube,odd_pos_fullword_h5,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_odd_pos_fullword_h5.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_odd_pos_fullword_h5.aig,1,1,775,13,10075,12.829,semantic model exact over 65536 inputs; positive-domain full word with odd sign flip hi_bits=5 default_mode=mode items=10878
ex216,ex216_bf16_cube_odd_pos_fields_e3_m3,bf16_cube,cube,odd_pos_fields_e3_m3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_odd_pos_fields_e3_m3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_odd_pos_fields_e3_m3.aig,1,1,793,13,10309,2.992,semantic model exact over 65536 inputs; positive-domain odd symmetry separate fields exp_hi=3 mant_hi=3 items=12037
ex216,ex216_bf16_cube_split_sign_word_h3,bf16_cube,cube,split_sign_word_h3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_split_sign_word_h3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_split_sign_word_h3.aig,1,1,749,14,10486,7.826,semantic model exact over 65536 inputs; split-sign word hi_bits=3 default_mode=mode items=21699
ex216,ex216_bf16_cube_split_sign_word_h4,bf16_cube,cube,split_sign_word_h4,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_split_sign_word_h4.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_split_sign_word_h4.aig,1,1,823,16,13168,20.660,semantic model exact over 65536 inputs; split-sign word hi_bits=4 default_mode=mode items=21721
ex216,ex216_bf16_cube_sep_fields_e3_m3_s3,bf16_cube,cube,sep_fields_e3_m3_s3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_sep_fields_e3_m3_s3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_sep_fields_e3_m3_s3.aig,1,1,869,16,13904,6.405,semantic model exact over 65536 inputs; separate fields exp_hi=3 mant_hi=3 sign_hi=3 items=24087
ex216,ex216_bf16_cube_delta_pair_first_hilo3,bf16_cube,cube,delta_pair_first_hilo3,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_delta_pair_first_hilo3.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_delta_pair_first_hilo3.aig,1,1,476,15,7140,3.606,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=11097
ex216,ex216_bf16_cube_delta_pair_first_hilo4,bf16_cube,cube,delta_pair_first_hilo4,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_delta_pair_first_hilo4.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_delta_pair_first_hilo4.aig,1,1,473,14,6622,4.146,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo4 items=11108
ex216,ex216_bf16_cube_delta_pair_mode_hilo4,bf16_cube,cube,delta_pair_mode_hilo4,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/verilog/ex216_bf16_cube_delta_pair_mode_hilo4.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex216/aigs/ex216_bf16_cube_delta_pair_mode_hilo4.aig,1,1,487,14,6818,4.220,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo4 items=11108
ex217,ex217_bf16_cbrt_aggr_semantic_positive_symmetry_fields,bf16_cbrt,cbrt,aggr_semantic_positive_symmetry_fields,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/verilog/ex217_bf16_cbrt_aggr_semantic_positive_symmetry_fields.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/aigs/ex217_bf16_cbrt_aggr_semantic_positive_symmetry_fields.aig,1,1,1058,25,26450,12.584,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs
ex217,ex217_bf16_cbrt_aggr_semantic_positive_field_defaults,bf16_cbrt,cbrt,aggr_semantic_positive_field_defaults,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/verilog/ex217_bf16_cbrt_aggr_semantic_positive_field_defaults.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/aigs/ex217_bf16_cbrt_aggr_semantic_positive_field_defaults.aig,1,1,1232,15,18480,7.771,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_exp_groups=256; full_default_groups=1; positive_exceptions=31496; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs
ex217,ex217_bf16_cbrt_aggr_semantic_exp_delta_fields,bf16_cbrt,cbrt,aggr_semantic_exp_delta_fields,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/verilog/ex217_bf16_cbrt_aggr_semantic_exp_delta_fields.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/aigs/ex217_bf16_cbrt_aggr_semantic_exp_delta_fields.aig,1,1,1098,27,29646,8.551,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=base=arith_cbrt; positive_entries=32768; normal_entries=32512; special_entries=256; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs
ex217,ex217_bf16_cbrt_legacy_exp_mant_delta_pair,bf16_cbrt,cbrt,legacy_exp_mant_delta_pair,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/verilog/ex217_bf16_cbrt_legacy_exp_mant_delta_pair.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/aigs/ex217_bf16_cbrt_legacy_exp_mant_delta_pair.aig,1,1,680,16,10880,6.888,semantic model exact over 65536 inputs; legacy bf16_verilog_search exp_mant_delta_pair; 32897
ex217,ex217_bf16_cbrt_legacy_positive_default_exp_mant_case,bf16_cbrt,cbrt,legacy_positive_default_exp_mant_case,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/verilog/ex217_bf16_cbrt_legacy_positive_default_exp_mant_case.v,student/work/ex215_ex219_frontend_bf16_semantic_20260606_1447/ex217/aigs/ex217_bf16_cbrt_legacy_positive_default_exp_mant_case.aig,1,1,902,14,12628,5.583,semantic model exact over 65536 inputs; legacy bf16_verilog_search positive_default_exp_mant_case; 32768; default=sign_flip; exceptions=127
