case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex241,ex241_semantic_mul_product_table_abc_g_aig_default_recheck,fp8_e4m3fn_mul,default_recheck,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_default_recheck.aig,1,1,1,781,35,27335,7224,3.783915,0,0,1.426,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex241,ex241_semantic_mul_product_table_abc_g_aig_no_internal_abc,fp8_e4m3fn_mul,no_internal_abc,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_no_internal_abc.aig,1,1,1,1105,37,40885,7224,5.659607,0,0,1.261,skip Yosys internal abc pass,synthflow_exact,skip Yosys internal abc pass
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_fast,fp8_e4m3fn_mul,abc_fast,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_fast.aig,1,1,1,1116,36,40176,7224,5.561462,0,0,1.390,Yosys abc fast script,synthflow_exact,Yosys abc fast script
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_d20,fp8_e4m3fn_mul,abc_d20,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_d20.aig,1,1,1,781,35,27335,7224,3.783915,0,0,1.458,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_d21,fp8_e4m3fn_mul,abc_d21,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_d21.aig,1,1,1,781,35,27335,7224,3.783915,0,0,1.441,Yosys abc delay target 21,synthflow_exact,Yosys abc delay target 21
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_d22,fp8_e4m3fn_mul,abc_d22,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_d22.aig,1,1,1,781,35,27335,7224,3.783915,0,0,1.475,Yosys abc delay target 22,synthflow_exact,Yosys abc delay target 22
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_d24,fp8_e4m3fn_mul,abc_d24,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_d24.aig,1,1,1,781,35,27335,7224,3.783915,0,0,1.421,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_g_aig,fp8_e4m3fn_mul,abc_g_aig,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_g_aig.aig,1,1,1,778,34,26452,7224,3.661683,0,0,1.439,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_g_simple,fp8_e4m3fn_mul,abc_g_simple,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_g_simple.aig,1,1,1,854,35,29890,7224,4.137597,0,0,1.484,Yosys abc gate set simple,synthflow_exact,Yosys abc gate set simple
ex241,ex241_semantic_mul_product_table_abc_g_aig_abc_g_and_mux,fp8_e4m3fn_mul,abc_g_and_mux,student/work/ex241_frontend_fp8_product_table_20260608_1130/ex241/verilog/ex241_semantic_mul_product_table.v,student/work/ex241_frontend_fp8_product_table_synthflow_20260608_1253/ex241/aigs/ex241_semantic_mul_product_table_abc_g_aig_abc_g_and_mux.aig,1,1,1,792,36,28512,7224,3.946844,0,0,1.459,"Yosys abc gate set AND,MUX",synthflow_exact,"Yosys abc gate set AND,MUX"
