case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,pool_source,source_csv
ex200,ex200_bf16_exp_sign_exp_mant_case,bf16_exp,sign_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex200/verilog/ex200_bf16_exp_sign_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex200/aigs/ex200_bf16_exp_sign_exp_mant_case.aig,1,1,1,3749,17,63733,2.792,4576,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex201,ex201_bf16_exp2_exp_mant_pair_case,bf16_exp2,exp_mant_pair_case,student/work/reverse_bf16_deep_20260603_1223/ex201/verilog/ex201_bf16_exp2_exp_mant_pair_case.v,student/work/reverse_bf16_deep_20260603_1223/ex201/aigs/ex201_bf16_exp2_exp_mant_pair_case.aig,1,1,1,1599,15,23985,1.702,2415,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex202,ex202_bf16_exp10_exp_mant_pair_case,bf16_exp10,exp_mant_pair_case,student/work/reverse_bf16_deep_20260603_1223/ex202/verilog/ex202_bf16_exp10_exp_mant_pair_case.v,student/work/reverse_bf16_deep_20260603_1223/ex202/aigs/ex202_bf16_exp10_exp_mant_pair_case.aig,1,1,1,3661,17,62237,2.425,2542,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex203,ex203_bf16_log_sign_exp_mant_case,bf16_log,sign_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex203/verilog/ex203_bf16_log_sign_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex203/aigs/ex203_bf16_log_sign_exp_mant_case.aig,1,1,1,4546,18,81828,6.396,32897,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex204,ex204_bf16_log2_exp_mant_delta_pair,bf16_log2,exp_mant_delta_pair,student/work/reverse_bf16_deep_20260603_1223/ex204/verilog/ex204_bf16_log2_exp_mant_delta_pair.v,student/work/reverse_bf16_deep_20260603_1223/ex204/aigs/ex204_bf16_log2_exp_mant_delta_pair.aig,1,1,1,1679,18,30222,5.797,32897,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex205,ex205_bf16_log10_sign_exp_mant_case,bf16_log10,sign_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex205/verilog/ex205_bf16_log10_sign_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex205/aigs/ex205_bf16_log10_sign_exp_mant_case.aig,1,1,1,4631,18,83358,6.578,32897,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex206,ex206_bf16_sin_split_sign_exp_mant_case,bf16_sin,split_sign_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex206/verilog/ex206_bf16_sin_split_sign_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex206/aigs/ex206_bf16_sin_split_sign_exp_mant_case.aig,1,1,1,30492,21,640332,31.618,65028,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex207,ex207_bf16_tan_exp_mant_pair_case,bf16_tan,exp_mant_pair_case,student/work/reverse_bf16_deep_20260603_1223/ex207/verilog/ex207_bf16_tan_exp_mant_pair_case.v,student/work/reverse_bf16_deep_20260603_1223/ex207/aigs/ex207_bf16_tan_exp_mant_pair_case.aig,1,1,1,35257,22,775654,32.217,32514,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex208,ex208_bf16_sinh_split_sign_exp_mant_case,bf16_sinh,split_sign_exp_mant_case,student/work/reverse_bf16_deep_20260603_1223/ex208/verilog/ex208_bf16_sinh_split_sign_exp_mant_case.v,student/work/reverse_bf16_deep_20260603_1223/ex208/aigs/ex208_bf16_sinh_split_sign_exp_mant_case.aig,1,1,1,2208,15,33120,6.068,34548,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex209,ex209_bf16_tanh_sign_exp_default_expr_case,bf16_tanh,sign_exp_default_expr_case,student/work/reverse_bf16_deep_20260603_1223/ex209/verilog/ex209_bf16_tanh_sign_exp_default_expr_case.v,student/work/reverse_bf16_deep_20260603_1223/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_case.aig,1,1,1,765,13,9945,3.816,"groups=512; full_default_groups=246; exceptions=33680; defaults=abs_input:385,input:123,nan:2,sign_zero:2",bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex210,ex210_bf16_sigmoid_exp_mant_pair_case,bf16_sigmoid,exp_mant_pair_case,student/work/reverse_bf16_deep_20260603_1223/ex210/verilog/ex210_bf16_sigmoid_exp_mant_pair_case.v,student/work/reverse_bf16_deep_20260603_1223/ex210/aigs/ex210_bf16_sigmoid_exp_mant_pair_case.aig,1,1,1,2307,17,39219,1.841,2288,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex211,ex211_bf16_reciprocal_value_case,bf16_reciprocal,value_case,student/work/reverse_bf16_deep_20260603_1223/ex211/verilog/ex211_bf16_reciprocal_value_case.v,student/work/reverse_bf16_deep_20260603_1223/ex211/aigs/ex211_bf16_reciprocal_value_case.aig,1,1,1,280,11,3080,24.014,65536,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex212,ex212_bf16_square_exp_mant_delta_pair,bf16_square,exp_mant_delta_pair,student/work/reverse_bf16_deep_20260603_1223/ex212/verilog/ex212_bf16_square_exp_mant_delta_pair.v,student/work/reverse_bf16_deep_20260603_1223/ex212/aigs/ex212_bf16_square_exp_mant_delta_pair.aig,1,1,1,318,11,3498,9.415,16768,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
ex213,ex213_bf16_sqrt_semantic_arith_fields,bf16_sqrt,semantic_arith_fields,student/work/reverse_bf16_semantic_20260603_1108/ex213/verilog/ex213_bf16_sqrt_semantic_arith_fields.v,student/work/reverse_bf16_semantic_20260603_1108/ex213/aigs/ex213_bf16_sqrt_semantic_arith_fields.aig,1,1,1,338,13,4394,1.172,256; sign_mode=nan; normal_table_entries=254,semantic BF16 exponent/mantissa RTL,bf16_semantic_variants_20260603_1108,bf16_frontend_pool_all_20260603_1209.csv
ex214,ex214_bf16_reciprocal_square_default_expr_exception_case,bf16_reciprocal_square,default_expr_exception_case,student/work/reverse_bf16_deep_20260603_1223/ex214/verilog/ex214_bf16_reciprocal_square_default_expr_exception_case.v,student/work/reverse_bf16_deep_20260603_1223/ex214/aigs/ex214_bf16_reciprocal_square_default_expr_exception_case.aig,1,1,1,318,12,3816,15.577,exceptions=48896; default=zero; matches=16640,bf16 Verilog table factoring seed,bf16_deep_variants_20260603_1223,bf16_deep_variants_20260603_1223.csv
