round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,shared_structure,method_signature,notes,shard_csv,structure_metrics,prior_signature_avoidance,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,outcome,prior_low_value_signatures_avoided,status,evidence_path,key_width,key_count
round73,,sub-fp16-int-r73,ex223,,ex223_r73_segword_hi8_lo2_abc_g_aig,fp16_fullword_segment_table,,,shared sign-exp special decode and full-word segment muxing,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/shared_structure_report.csv,special_const_groups=33;special_full_groups=1;special_items=1057;fullword_segments=7680;const_segments=2830;segment_entries=22230,"not r68-r72 nested-low, compact current shell, or low10/low9 threshold signature",,,,,,,,,,,
round73,,sub-fp16-int-r73,ex223,,ex223_r73_wordrun_threshold_tree_abc_g_aig,fp16_wordrun_threshold_tree,,,shared sign-exp special decode and per-exponent balanced threshold functions,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/shared_structure_report.csv,special_const_groups=33;special_full_groups=1;special_items=1057;word_runs_total=9736;word_runs_max=1024;word_runs_min=89,materially different from low10/low9 selected-PO threshold and nested-low residual signatures,,,,,,,,,,,
round73,,sub-fp16-int-r73,ex225,,ex225_r73_segword_hi8_lo2_abc_g_aig,fp16_fullword_segment_table,,,shared sign-exp special decode and full-word segment muxing,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/shared_structure_report.csv,special_const_groups=33;special_full_groups=1;special_items=1057;fullword_segments=7680;const_segments=2772;segment_entries=22404,"not r68-r72 nested-low, compact current shell, or low10/low9 threshold signature",,,,,,,,,,,
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_aligner_lowcluster_corr,shared normalize aligner plus exact low-cluster correction table,E4M3FN packed add,shared normalize aligner plus exact low-cluster correction table,"sorted operand decode, active same/diff aligner state, high cluster reuse, low cluster correction",ex240|E4M3FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E4 decode; high magnitude cluster selected first; only low cluster is corrected from the high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,"round73 source family; not direct formula, low-bit overlay, branch/gap plane, signed adjustment, or normcarry residual",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E4M3FN packed add,"sorted operand decode, active same/diff aligner state, high cluster reuse, low cluster correction",aligner_lowcluster_correction,medium,6869/49/336581,equivalent,"round73 source family; not direct formula, low-bit overlay, branch/gap plane, signed adjustment, or normcarry residual",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_aligner_lowcluster_corr.evaluate.py.log,,
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_operand_class_cofactor_dag,low-cost cofactor DAG by operand class,E4M3FN packed add,low-cost cofactor DAG by operand class,"operand-class selector, same/diff active cofactors, local gap subfunctions",ex240|E4M3FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,"materially different from r70 branch planes: class DAG controls small local functions, not full output branch planes",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E4M3FN packed add,"operand-class selector, same/diff active cofactors, local gap subfunctions",operand_class_cofactor_dag,medium,no official ADP,failed,"materially different from r70 branch planes: class DAG controls small local functions, not full output branch planes",NOT_EQUIV,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_operand_class_cofactor_dag.evaluate.py.log,,
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_aligner_lowcluster_corr,shared normalize aligner plus exact low-cluster correction table,E5M2FN packed add,shared normalize aligner plus exact low-cluster correction table,"sorted operand decode, small-gap active state, high cluster reuse, low cluster correction",ex245|E5M2FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E5 decode; high magnitude cluster selected first; low E5 mantissa cluster corrected from high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,"round73 source family; not gap-class formula replay, active-table copy, low-bit overlay, signed adjustment, or normcarry residual",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E5M2FN packed add,"sorted operand decode, small-gap active state, high cluster reuse, low cluster correction",aligner_lowcluster_correction,medium,3988/46/183448,equivalent,"round73 source family; not gap-class formula replay, active-table copy, low-bit overlay, signed adjustment, or normcarry residual",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_aligner_lowcluster_corr.evaluate.py.log,,
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_operand_class_cofactor_dag,low-cost cofactor DAG by operand class,E5M2FN packed add,low-cost cofactor DAG by operand class,"operand-class selector, same/diff active cofactors, local gap subfunctions",ex245|E5M2FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,materially different from r70 branch planes and r71 caseattrs/key-gate forms; exact local cofactor DAG only,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E5M2FN packed add,"operand-class selector, same/diff active cofactors, local gap subfunctions",operand_class_cofactor_dag,medium,no official ADP,failed,materially different from r70 branch planes and r71 caseattrs/key-gate forms; exact local cofactor DAG only,NOT_EQUIV,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_operand_class_cofactor_dag.evaluate.py.log,,
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_rounddist_code_classifier,multi-output exact code classifier with shared rounded-distance predicates,E4M3FN packed hypot,multi-output exact code classifier with shared rounded-distance predicates,"max/min decode, rounded-distance predicate flags, shared max-plus assembler",ex244|E4M3FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared max/min effective-exponent key feeds rounded-distance predicate flags reused by all delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,"not maxcode interval bank, gap correction ROM, square-score classifier, or r70 delta/ge threshold cells",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E4M3FN packed hypot,"max/min decode, rounded-distance predicate flags, shared max-plus assembler",rounded_distance_code_predicates,medium,1302/46/59892,equivalent,"not maxcode interval bank, gap correction ROM, square-score classifier, or r70 delta/ge threshold cells",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_rounddist_code_classifier.evaluate.py.log,,
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_maxplus_corr_pla,max-code plus small correction as reduced multi-output PLA,E4M3FN packed hypot,max-code plus small correction as reduced multi-output PLA,"max/min decode, shared PLA predicate vector, max-plus correction assembler",ex244|E4M3FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared max/min effective-exponent predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,"not threshold sums, gap correction ROM, maxcode interval bank, or square-score delta classifier",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E4M3FN packed hypot,"max/min decode, shared PLA predicate vector, max-plus correction assembler",maxplus_smallcorr_reduced_pla,medium,708/41/29028,equivalent,"not threshold sums, gap correction ROM, maxcode interval bank, or square-score delta classifier",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_maxplus_corr_pla.evaluate.py.log,,
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_rounddist_code_classifier,multi-output exact code classifier with shared rounded-distance predicates,E5M2FN packed hypot,multi-output exact code classifier with shared rounded-distance predicates,"raw max/min decode, rounded-distance predicate flags, shared saturation/max-plus assembler",ex249|E5M2FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared raw exponent and significand key feeds rounded-distance predicate flags reused by both delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,"not threshold cube classifier, rawgap correction ROM, piecewise tiny mantissa, or square-score classifier",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E5M2FN packed hypot,"raw max/min decode, rounded-distance predicate flags, shared saturation/max-plus assembler",rounded_distance_code_predicates,medium,494/37/18278,equivalent,"not threshold cube classifier, rawgap correction ROM, piecewise tiny mantissa, or square-score classifier",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_rounddist_code_classifier.evaluate.py.log,,
