case,input_width,split_bit,input_transform,output_transform,matches,total,exact,match_ratio,examples
ex286,13,0,comp_all,identity,0,4096,0,0.000000,x=0x0:p=0x1fff:pred=0x0:exp=0x1fff;x=0x2:p=0x1ffd:pred=0x20:exp=0x1ffb;x=0x4:p=0x1ffb:pred=0x200:exp=0x1fbf
ex286,13,0,comp_all,comp,1,4096,0,0.000244,x=0x2:p=0x1ffd:pred=0x1fdf:exp=0x1ffb;x=0x4:p=0x1ffb:pred=0x1dff:exp=0x1fbf;x=0x6:p=0x1ff9:pred=0x15ff:exp=0x1faf
ex286,13,0,comp_all,reverse,0,4096,0,0.000000,x=0x0:p=0x1fff:pred=0x0:exp=0x1fff;x=0x2:p=0x1ffd:pred=0x80:exp=0x1ffb;x=0x4:p=0x1ffb:pred=0x8:exp=0x1fbf
ex286,13,0,comp_all,comp_reverse,4,4096,0,0.000977,x=0x2:p=0x1ffd:pred=0x1f7f:exp=0x1ffb;x=0x4:p=0x1ffb:pred=0x1ff7:exp=0x1fbf;x=0x6:p=0x1ff9:pred=0x1ff5:exp=0x1faf
ex286,13,0,comp_all,pair_swap,0,4096,0,0.000000,x=0x0:p=0x1fff:pred=0x0:exp=0x1fff;x=0x2:p=0x1ffd:pred=0x10:exp=0x1ffb;x=0x4:p=0x1ffb:pred=0x200:exp=0x1fbf
ex286,13,0,comp_all,comp_pair_swap,1,4096,0,0.000244,x=0x2:p=0x1ffd:pred=0x1fef:exp=0x1ffb;x=0x4:p=0x1ffb:pred=0x1dff:exp=0x1fbf;x=0x6:p=0x1ff9:pred=0x15ff:exp=0x1faf
ex286,13,0,reverse_comp_all,identity,0,2048,0,0.000000,x=0x0:p=0x1fff:pred=0x0:exp=0x1fff;x=0x2:p=0x17ff:pred=0x20:exp=0x1bff;x=0x4:p=0x1bff:pred=0x200:exp=0x1eff
ex286,13,0,reverse_comp_all,comp,7,2048,0,0.003418,x=0x2:p=0x17ff:pred=0x1fdf:exp=0x1bff;x=0x4:p=0x1bff:pred=0x1dff:exp=0x1eff;x=0x6:p=0x13ff:pred=0x15ff:exp=0x1cff
ex286,13,0,reverse_comp_all,reverse,0,2048,0,0.000000,x=0x0:p=0x1fff:pred=0x0:exp=0x1fff;x=0x2:p=0x17ff:pred=0x80:exp=0x1bff;x=0x4:p=0x1bff:pred=0x8:exp=0x1eff
ex286,13,0,reverse_comp_all,comp_reverse,14,2048,0,0.006836,x=0x2:p=0x17ff:pred=0x1f7f:exp=0x1bff;x=0x4:p=0x1bff:pred=0x1ff7:exp=0x1eff;x=0x6:p=0x13ff:pred=0x1ff5:exp=0x1cff
ex286,13,0,reverse_comp_all,pair_swap,0,2048,0,0.000000,x=0x0:p=0x1fff:pred=0x0:exp=0x1fff;x=0x2:p=0x17ff:pred=0x10:exp=0x1bff;x=0x4:p=0x1bff:pred=0x200:exp=0x1eff
ex286,13,0,reverse_comp_all,comp_pair_swap,1,2048,0,0.000488,x=0x2:p=0x17ff:pred=0x1fef:exp=0x1bff;x=0x4:p=0x1bff:pred=0x1dff:exp=0x1eff;x=0x6:p=0x13ff:pred=0x15ff:exp=0x1cff
ex286,13,0,reverse_comp_except_split,identity,2,2048,0,0.000977,x=0x0:p=0xfff:pred=0x0:exp=0x1fef;x=0x2:p=0x7ff:pred=0x20:exp=0x1ffa;x=0x4:p=0xbff:pred=0x200:exp=0x1fee
ex286,13,0,reverse_comp_except_split,comp,0,2048,0,0.000000,x=0x0:p=0xfff:pred=0x1fff:exp=0x1fef;x=0x2:p=0x7ff:pred=0x1fdf:exp=0x1ffa;x=0x4:p=0xbff:pred=0x1dff:exp=0x1fee
