case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex240,ex240_r3_shift_align_source_compress,OK,611,44,26884,26884,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r3_shift_align_source_compress.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex240,ex240_r64_compact_cancel_predicate_mux_synth_preset,OK,584,47,27448,27448,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r64_compact_cancel_predicate_mux_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex240,ex240_r2_zero_passthrough_abc_g_aig_frontend,OK,620,45,27900,27900,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r2_zero_passthrough_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex240,ex240_r10_current_muxclean,OK,627,45,28215,28215,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r10_current_muxclean.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex240,ex240_r11_nan_or_mask,OK,627,45,28215,28215,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r11_nan_or_mask.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex240,ex240_r10_output_plane_split,OK,614,46,28244,28244,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r10_output_plane_split.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex240,ex240_r9_truth_residual16_overlay,OK,618,46,28428,28428,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r9_truth_residual16_overlay.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex240,ex240_r10_caseattrs_optfull,OK,620,46,28520,28520,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex240/aigs/ex240_r10_caseattrs_optfull.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r27_currentbest_delaytarget_synth_preset_aig_D16,OK,536,29,15544,15544,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r27_currentbest_delaytarget_synth_preset_aig_D16.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r10_current_muxclean,OK,548,29,15892,15892,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r10_current_muxclean.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r27_currentbest_delaytarget_abc_g_aig_D20,OK,548,29,15892,15892,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r27_currentbest_delaytarget_abc_g_aig_D20.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r10_output_plane_split,OK,551,29,15979,15979,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r10_output_plane_split.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r9_special_dag_overlay,OK,552,29,16008,16008,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r9_special_dag_overlay.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r9_truth_residual16_overlay,OK,554,29,16066,16066,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r9_truth_residual16_overlay.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r10_caseattrs_optfull,OK,538,30,16140,16140,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r10_caseattrs_optfull.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex241,ex241_r11_r71_splitcase_muxclean,OK,540,30,16200,16200,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex241/aigs/ex241_r11_r71_splitcase_muxclean.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex242,ex242_r71_axis_attr_hardrom,OK,842,21,17682,17682,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex242/aigs/ex242_r71_axis_attr_hardrom.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex242,ex242_r8_splitpo_numzero_shell_abc_g_aig_frontend,OK,905,21,19005,19005,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex242/aigs/ex242_r8_splitpo_numzero_shell_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex242,ex242_r71_splitpo_hardpieces,OK,906,21,19026,19026,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex242/aigs/ex242_r71_splitpo_hardpieces.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex242,ex242_r67_div_desc_split,OK,1325,19,25175,25175,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex242/aigs/ex242_r67_div_desc_split.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex242,ex242_r27_currentbest_delaytarget_synth_preset_aig_D16,OK,1266,20,25320,25320,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex242/aigs/ex242_r27_currentbest_delaytarget_synth_preset_aig_D16.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex242,ex242_semantic_div_formula_exception_compact_synth_preset_aig,OK,1028,25,25700,25700,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex242/aigs/ex242_semantic_div_formula_exception_compact_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex243,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_g_gates,OK,1808,27,48816,48816,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_g_gates.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex243,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_d20,OK,1809,27,48843,48843,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_d20.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex243,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_g_cmos2,OK,1857,27,50139,50139,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_g_cmos2.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex243,ex243_semantic_fmod_modsig_nested_delta_synth_preset_aig,OK,1914,27,51678,51678,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_r22_maxeff_delta_bdd_replay,OK,301,34,10234,10234,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_r22_maxeff_delta_bdd_replay.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_r60_gapcofactor_satsplit_field_abc_g_aig,OK,304,34,10336,10336,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_r60_gapcofactor_satsplit_field_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset,OK,307,34,10438,10438,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_r60_gapcofactor_satsplit_raw_abc_g_aig,OK,300,35,10500,10500,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_r60_gapcofactor_satsplit_raw_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_semantic_hypot_delta_maxeff_bdd_mixed_synth_preset_aig,OK,309,34,10506,10506,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_mixed_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_r7_current_sat_boundary_synth_preset_aig,OK,310,34,10540,10540,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_r7_current_sat_boundary_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_r60_gapcofactor_satsplit_field_synth_preset,OK,312,34,10608,10608,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_r60_gapcofactor_satsplit_field_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex244,ex244_r69_explicit_sat_bdd_synth_preset_aig,OK,299,36,10764,10764,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex244/aigs/ex244_r69_explicit_sat_bdd_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_ex245_r75_field_active_mux_repo_yosys,OK,741,31,22971,22971,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_ex245_r75_field_active_mux_repo_yosys.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_r11_r89_active_branch_preset,OK,706,33,23298,23298,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_r11_r89_active_branch_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_r11_r89_active_branch_d30,OK,707,33,23331,23331,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_r11_r89_active_branch_d30.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_r11_nan_or_mask,OK,713,33,23529,23529,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_r11_nan_or_mask.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_r10_current_muxclean,OK,717,33,23661,23661,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_r10_current_muxclean.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_r71_caseattrs_outputsplit,OK,698,34,23732,23732,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_r71_caseattrs_outputsplit.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_r26_gap_class_synth_preset_aig,OK,701,34,23834,23834,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_r26_gap_class_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex245,ex245_r8_active_decision,OK,665,36,23940,23940,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex245/aigs/ex245_r8_active_decision.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_product_dc_seed12_set22to21_synth_preset_aig,OK,341,22,7502,7502,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set22to21_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_product_dc_seed10_synth_preset_aig,OK,343,22,7546,7546,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_product_dc_seed10_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_product_dc_seed132_synth_preset_aig,OK,343,22,7546,7546,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_product_dc_seed132_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_product_dc_seed215_synth_preset_aig,OK,344,22,7568,7568,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_product_dc_seed215_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_product_dc_seed150_synth_preset_aig,OK,346,22,7612,7612,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_product_dc_seed150_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_product_dc_seed272_synth_preset_aig,OK,346,22,7612,7612,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_product_dc_seed272_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_product_dc_seed77_synth_preset_aig,OK,347,22,7634,7634,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_product_dc_seed77_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex246,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_aig_fp8agent,OK,364,21,7644,7644,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex246/aigs/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_aig_fp8agent.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r10_caseattrs_optfull,OK,249,26,6474,6474,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r10_caseattrs_optfull.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r2_lowpred_step_mux_abc_g_aig_frontend,OK,250,26,6500,6500,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r2_lowpred_step_mux_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r6_low12_grouped_mag_abc_g_aig_frontend,OK,250,26,6500,6500,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r6_low12_grouped_mag_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend,OK,251,26,6526,6526,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r5_grouped_mag_assign_abc_g_aig_frontend,OK,251,26,6526,6526,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r5_grouped_mag_assign_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r2_current_r5_conemix_abc_g_aig_frontend,OK,252,26,6552,6552,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r2_current_r5_conemix_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r10_guard_rows4,OK,253,26,6578,6578,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r10_guard_rows4.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex247,ex247_r11_region_action_code,OK,253,26,6578,6578,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex247/aigs/ex247_r11_region_action_code.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r10_current_muxclean,OK,290,27,7830,7830,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r10_current_muxclean.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r11_exp_sig_compare,OK,290,27,7830,7830,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r11_exp_sig_compare.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r6_numden_range_shell_core,OK,291,27,7857,7857,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r6_numden_range_shell_core.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r8_pruned_periodic_core_abc_g_aig_frontend,OK,291,27,7857,7857,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r8_pruned_periodic_core_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r11_action_mag_select,OK,292,27,7884,7884,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r11_action_mag_select.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r26r_fmod_norm_by_rem_abc_g_aig,OK,294,27,7938,7938,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r26r_fmod_norm_by_rem_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r26r_fmod_norm_by_rem_synth_preset_aig,OK,287,28,8036,8036,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r26r_fmod_norm_by_rem_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex248,ex248_r10_output_plane_split,OK,290,28,8120,8120,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex248/aigs/ex248_r10_output_plane_split.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r69_manual_sat_increment_synth_preset_aig,OK,165,28,4620,4620,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r69_manual_sat_increment_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r7_bitout_boundary_synth_preset_aig,OK,180,26,4680,4680,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r7_bitout_boundary_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r2_current_tail_conemix_abc_g_aig_frontend,OK,169,28,4732,4732,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r2_current_tail_conemix_abc_g_aig_frontend.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r26_threshold_case_synth_preset_aig,OK,164,29,4756,4756,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r26_threshold_case_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r26r_hypot_onehot_delta_abc_g_aig,OK,170,28,4760,4760,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r26r_hypot_onehot_delta_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r3_gap_split_delta_planes,OK,170,28,4760,4760,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r3_gap_split_delta_planes.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r26r_hypot_onehot_delta_synth_preset_aig,OK,171,28,4788,4788,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r26r_hypot_onehot_delta_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex249,ex249_r9_truth_residual16_overlay,OK,171,28,4788,4788,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex249/aigs/ex249_r9_truth_residual16_overlay.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex250,ex250_semantic_fp4_dot2_magprod_qcase_synthD20_aig,OK,413,41,16933,16933,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex250/aigs/ex250_semantic_fp4_dot2_magprod_qcase_synthD20_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex250,ex250_semantic_fp4_dot2_magarith_qcase_abcD15_aig,OK,416,41,17056,17056,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex250/aigs/ex250_semantic_fp4_dot2_magarith_qcase_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex250,ex250_semantic_fp4_dot2_magprod_qcase_abcD15_aig,OK,417,41,17097,17097,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex250/aigs/ex250_semantic_fp4_dot2_magprod_qcase_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex250,ex250_semantic_fp4_dot2_magprod_qunrolled_norm_synthD20_aig,OK,420,41,17220,17220,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex250/aigs/ex250_semantic_fp4_dot2_magprod_qunrolled_norm_synthD20_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex251,ex251_semantic_int3_dot2_arith_qcase_synth_preset_aig,OK,450,42,18900,18900,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex251/aigs/ex251_semantic_int3_dot2_arith_qcase_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex251,ex251_semantic_int3_dot2_arith_qcase_synth_preset,OK,459,42,19278,19278,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex251/aigs/ex251_semantic_int3_dot2_arith_qcase_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex251,ex251_semantic_int3_dot2_prodtable_qcase_abc_g_aig,OK,610,34,20740,20740,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex251/aigs/ex251_semantic_int3_dot2_prodtable_qcase_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex251,ex251_semantic_int3_dot2_arith_qcase_default,OK,547,38,20786,20786,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex251/aigs/ex251_semantic_int3_dot2_arith_qcase_default.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex252,ex252_semantic_u2_dot4_balanced_qcase_abcD15_aig,OK,145,21,3045,3045,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex252/aigs/ex252_semantic_u2_dot4_balanced_qcase_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex252,ex252_semantic_u2_dot4_balanced_qcase_default,OK,145,21,3045,3045,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex252/aigs/ex252_semantic_u2_dot4_balanced_qcase_default.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex252,ex252_semantic_u2_dot4_balanced_threshold_fields_abcD15_aig,OK,144,22,3168,3168,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex252/aigs/ex252_semantic_u2_dot4_balanced_threshold_fields_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex252,ex252_semantic_u2_dot4_balanced_threshold_fields_default,OK,144,22,3168,3168,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex252/aigs/ex252_semantic_u2_dot4_balanced_threshold_fields_default.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex252,ex252_semantic_u2_dot4_balanced_bitformula_abcD15_aig,OK,147,23,3381,3381,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex252/aigs/ex252_semantic_u2_dot4_balanced_bitformula_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex252,ex252_semantic_u2_dot4_balanced_bitformula_default,OK,147,23,3381,3381,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex252/aigs/ex252_semantic_u2_dot4_balanced_bitformula_default.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex253,ex253_semantic_u2_sum8_popcount_bitformula_default,OK,127,19,2413,2413,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex253/aigs/ex253_semantic_u2_sum8_popcount_bitformula_default.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex253,ex253_semantic_u2_sum8_popcount_bitformula_abcD15_aig,OK,128,19,2432,2432,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex253/aigs/ex253_semantic_u2_sum8_popcount_bitformula_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex253,ex253_semantic_u2_sum8_popcount_threshold_fields_abcD15_aig,OK,131,19,2489,2489,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex253/aigs/ex253_semantic_u2_sum8_popcount_threshold_fields_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex253,ex253_semantic_u2_sum8_popcount_threshold_fields_default,OK,131,19,2489,2489,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex253/aigs/ex253_semantic_u2_sum8_popcount_threshold_fields_default.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex253,ex253_semantic_u2_sum8_balanced_laneqcase_abcD15_aig,OK,126,20,2520,2520,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex253/aigs/ex253_semantic_u2_sum8_balanced_laneqcase_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex253,ex253_semantic_u2_sum8_balanced_threshold_fields_abcD15_aig,OK,132,21,2772,2772,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex253/aigs/ex253_semantic_u2_sum8_balanced_threshold_fields_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex254,ex254_semantic_e4add_fp4product_grs_abcD15_aig,OK,664,56,37184,37184,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex254/aigs/ex254_semantic_e4add_fp4product_grs_abcD15_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex254,ex254_semantic_e4add_fp4product_grs_magfactored_default,OK,686,55,37730,37730,student/new_seeds/float_fp8/ex240_ex254_backend_candidates_20260614_2011/ex254/aigs/ex254_semantic_e4add_fp4product_grs_magfactored_default.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
