case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex290,ex290_rotate_high_split_default_abc_d20,unknown_12x12,abc_d20,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_d20.aig,1,1,1,4484,16,71744,42328,1.694954,0,0,synthflow_exact,Yosys abc delay target 20,2.776,Yosys abc delay target 20,1,71744,0,
ex290,ex290_rotate_high_split_default_abc_d21,unknown_12x12,abc_d21,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_d21.aig,1,1,1,4484,16,71744,42328,1.694954,0,0,synthflow_exact,Yosys abc delay target 21,2.753,Yosys abc delay target 21,1,71744,0,
ex290,ex290_rotate_high_split_default_abc_d22,unknown_12x12,abc_d22,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_d22.aig,1,1,1,4484,16,71744,42328,1.694954,0,0,synthflow_exact,Yosys abc delay target 22,2.735,Yosys abc delay target 22,1,71744,0,
ex290,ex290_rotate_high_split_default_abc_d24,unknown_12x12,abc_d24,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_d24.aig,1,1,1,4484,16,71744,42328,1.694954,0,0,synthflow_exact,Yosys abc delay target 24,2.736,Yosys abc delay target 24,1,71744,0,
ex290,ex290_rotate_high_split_default_abc_fast,unknown_12x12,abc_fast,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_fast.aig,1,1,1,5404,18,97272,42328,2.298053,0,0,synthflow_exact,Yosys abc fast script,2.434,Yosys abc fast script,1,97272,0,
ex290,ex290_rotate_high_split_default_abc_g_aig,unknown_12x12,abc_g_aig,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_aig.aig,1,1,1,4428,14,61992,42328,1.464562,1,0,synthflow_exact,Yosys abc gate set aig,2.709,Yosys abc gate set aig,1,61992,0,
ex290,ex290_rotate_high_split_default_abc_g_aig_d18,unknown_12x12,abc_g_aig_d18,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_aig_d18.aig,1,1,1,4428,14,61992,42328,1.464562,1,0,synthflow_exact,Yosys abc gate set aig delay target 18,4.602,Yosys abc gate set aig delay target 18,1,61992,0,
ex290,ex290_rotate_high_split_default_abc_g_aig_d19,unknown_12x12,abc_g_aig_d19,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_aig_d19.aig,1,1,1,4428,14,61992,42328,1.464562,1,0,synthflow_exact,Yosys abc gate set aig delay target 19,3.277,Yosys abc gate set aig delay target 19,1,61992,0,
ex290,ex290_rotate_high_split_default_abc_g_aig_d20,unknown_12x12,abc_g_aig_d20,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_aig_d20.aig,1,1,1,4428,14,61992,42328,1.464562,1,0,synthflow_exact,Yosys abc gate set aig delay target 20,2.734,Yosys abc gate set aig delay target 20,1,61992,0,
ex290,ex290_rotate_high_split_default_abc_g_aig_d21,unknown_12x12,abc_g_aig_d21,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_aig_d21.aig,1,1,1,4428,14,61992,42328,1.464562,1,0,synthflow_exact,Yosys abc gate set aig delay target 21,2.743,Yosys abc gate set aig delay target 21,1,61992,0,
ex290,ex290_rotate_high_split_default_abc_g_and_mux,unknown_12x12,abc_g_and_mux,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_and_mux.aig,1,1,1,4666,17,79322,42328,1.873984,0,0,synthflow_exact,"Yosys abc gate set AND,MUX",2.862,"Yosys abc gate set AND,MUX",1,79322,0,
ex290,ex290_rotate_high_split_default_abc_g_cmos2,unknown_12x12,abc_g_cmos2,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_cmos2.aig,1,1,1,4508,15,67620,42328,1.597524,0,0,synthflow_exact,Yosys abc gate set cmos2,2.823,Yosys abc gate set cmos2,1,67620,0,
ex290,ex290_rotate_high_split_default_abc_g_gates,unknown_12x12,abc_g_gates,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_gates.aig,1,1,1,4432,15,66480,42328,1.570592,0,0,synthflow_exact,Yosys abc gate set gates,2.723,Yosys abc gate set gates,1,66480,0,
