case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_raw,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_resyn2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_compress2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_extra_share_raw,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_extra_share_resyn2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_extra_share_compress2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_abc_g_aig_resyn2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_abc_g_aig_compress2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_synth_preset_resyn2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_synth_preset_compress2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_default_raw,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_default_resyn2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_default_compress2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_extra_share_raw,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_extra_share_resyn2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_extra_share_compress2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_abc_g_aig_resyn2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_abc_g_aig_compress2rs_area,not_run,,official evaluate.py used for final verification
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_synth_preset_raw,not_run,,official evaluate.py used for final verification
