round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv,candidate_id,variant,aig_path,,blocked_reason,next_non_repeated_route_hypothesis,evidence_path,outcome,failure_reason,family,next_non_repeated_hypothesis,reuse_policy,expected_next_artifact_path,sharing,area,delay,adp,next_action
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,fp16,fp16_log,blocked_prior_families,,ex223|blocked_prior_families_checkpoint|r84_highword_r85_outputcluster_r75_mtbdd_r76_ratio_segbase_r77_boundary|read_scope_only|not_run|abc_xf_official_evaluate|checkpoint,BLOCKED_REPEAT,,,,checkpoint row only; no candidate claimed,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,prior official rows were equivalent but nonwinning or diagnostic blockers,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,fp16,fp16_log10,blocked_prior_families,,ex225|blocked_prior_families_checkpoint|r84_highword_r85_outputcluster_r75_mtbdd_r76_ratio_segbase_r77_r79_boundary|read_scope_only|not_run|abc_xf_official_evaluate|checkpoint,BLOCKED_REPEAT,,,,checkpoint row only; no candidate claimed,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,prior official rows were equivalent but nonwinning or diagnostic blockers,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,integer,signed_low4_high4_multiply,blocked_prior_families,,ex260|blocked_prior_families_checkpoint|r84_wordcover_r85_outputcluster_baugh_prefix_carryselect_booth_signed_offset|read_scope_only|not_run|abc_xf_official_evaluate|checkpoint,BLOCKED_REPEAT,,,,checkpoint row only; no candidate claimed,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,prior official rows were equivalent but nonwinning or diagnostic blockers,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,integer,unsigned_low5_high5_divide_dbz_sat,blocked_prior_families,,ex266|blocked_prior_families_checkpoint|r84_wordcover_r85_cluster_wordmux_spelling_serial_restore_threshold_topbit_selector|read_scope_only|not_run|abc_xf_official_evaluate|checkpoint,BLOCKED_REPEAT,,,,checkpoint row only; no candidate claimed,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,prior official rows were equivalent but nonwinning or diagnostic blockers,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,fp16,fp16_log10,positive-normal bit11 sign-exp mantissa root,,ex225|fp16_log10_truthroot_bit11_positive_normal_root|sign_exp_mantissa_run_root_for_bit11_over_frontend_best|single_exact_low_high_boundary_root|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_highword_not_r85_outputcluster,EQUIVALENT_NONWINNING,,,,candidate_id=ex225_r86_truthroot_bit11_abc_g_aig; yosys_log=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/logs/ex225_r86_truthroot_bit11_abc_g_aig.yosys.log; aig_path=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_truthroot_bit11_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,official equivalent but did not beat frontend best,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_truthroot_bit11.v,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,integer,signed_low4_high4_multiply,product bit4 reduced BDD root over signed operand interleave,,ex260|signed_low4_high4_multiply_truthroot_bit4_bdd|current_compressor_plus_product_bit4_reduced_bdd_root|single_expensive_bit_bdd_not_output_cluster|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r85_outputcluster_not_baugh_prefix_replay,EQUIVALENT_NONWINNING,,,,candidate_id=ex260_r86_truthroot_bit4_abc_g_aig; yosys_log=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/logs/ex260_r86_truthroot_bit4_abc_g_aig.yosys.log; aig_path=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_truthroot_bit4_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,official equivalent but did not beat frontend best,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_truthroot_bit4.v,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,integer,unsigned_low5_high5_divide_dbz_sat,quotient bit2 reduced BDD root over current selector order,,ex266|unsigned_low5_high5_divide_truthroot_bit2_bdd|current_wordmux_plus_quotient_bit2_reduced_bdd_root|single_expensive_bit_bdd_not_wordmux_spelling|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r85_cluster,EQUIVALENT_NONWINNING,,,,candidate_id=ex266_r86_truthroot_bit2_abc_g_aig; yosys_log=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/logs/ex266_r86_truthroot_bit2_abc_g_aig.yosys.log; aig_path=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/aigs/ex266_r86_truthroot_bit2_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,official equivalent but did not beat frontend best,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_truthroot_bit2.v,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,fp16,fp16_log,full-output reduced decision DAG over sign_exp then mantissa,,ex223|fp16_log_r86_full_word_mtbdd_decision_dag|sign_exp_then_mantissa_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_highword_not_r85_residual,EQUIVALENT_NONWINNING,,,,candidate_id=ex223_r86_mtbdd_word_dag_abc_g_aig; yosys_log=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/logs/ex223_r86_mtbdd_word_dag_abc_g_aig.yosys.log; aig_path=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/aigs/ex223_r86_mtbdd_word_dag_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,official equivalent but did not beat frontend best,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_mtbdd_word_dag.v,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,fp16,fp16_log10,full-output reduced decision DAG over sign_exp then mantissa,,ex225|fp16_log10_r86_full_word_mtbdd_decision_dag|sign_exp_then_mantissa_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_highword_not_r85_residual,EQUIVALENT_NONWINNING,,,,candidate_id=ex225_r86_mtbdd_word_dag_abc_g_aig; yosys_log=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/logs/ex225_r86_mtbdd_word_dag_abc_g_aig.yosys.log; aig_path=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_mtbdd_word_dag_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,official equivalent but did not beat frontend best,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_mtbdd_word_dag.v,,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,integer,signed_low4_high4_multiply,full-output reduced decision DAG over interleaved signed operands,,ex260|signed_low4_high4_multiply_r86_full_word_mtbdd_decision_dag|interleaved_signed_operand_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_wordcover_not_r85_cluster,EQUIVALENT_NONWINNING,,,,candidate_id=ex260_r86_mtbdd_word_dag_abc_g_aig; yosys_log=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/logs/ex260_r86_mtbdd_word_dag_abc_g_aig.yosys.log; aig_path=student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_mtbdd_word_dag_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/failed_hypotheses.csv,,,,,,,,,official equivalent but did not beat frontend best,,,do_not_repeat_as_is,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_mtbdd_word_dag.v,,,,,
