case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,variant,official_output_dir,evaluate_log,verified_truth,reference_adp,beats_overall_current,shard_csv,domain,shared_structure,simulation_pass,beats_current_best
ex223,ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig,fp16_log_special_nested_minimality_recheck,low14_hi5_nested_lut_with_manual_sign_and_bit14,direct special class shell plus manual high-bit thresholds and nested low table,yosys_abc_g_aig,ex223|fp16_log_special_nested_minimality_recheck|low14_hi5_nested_lut_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low14_hi5_manual15_14_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_nested_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/aigs/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/logs/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,1,10772,19,204668,0,0,"direct special shell plus nested low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=14; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_ln_thresholds",sub-fp16-redesc-r75,r75_nested_low14_hi5_manual15_14_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,1,120549,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus manual high-bit thresholds and nested low table,not_run,
ex223,ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,fp16_log_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,direct special class shell plus manual high-bit thresholds and sparse residual defaults,yosys_abc_g_aig,ex223|fp16_log_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/verilog/ex223_r75_sparse_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/aigs/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/logs/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,1,10735,19,203965,0,0,"direct special shell plus sparse low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:manual_exp_lt15; b14:manual_ln_thresholds",sub-fp16-redesc-r75,r75_sparse_low14_hi5_manual15_14_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex223/official_eval/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,1,120549,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus manual high-bit thresholds and sparse residual defaults,not_run,
ex225,ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_run_high_bits,direct special class shell plus high-bit run trees and sparse residual defaults,yosys_abc_g_aig,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.yosys.log,1,11537,19,219203,0,0,"direct special shell plus sparse low14/hi5 and manual high bits none; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28",sub-fp16-redesc-r75,r75_sparse_low14_hi5_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus high-bit run trees and sparse residual defaults,not_run,
ex225,ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_only,direct special class shell plus manual sign predicate and sparse residual defaults,yosys_abc_g_aig,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.yosys.log,1,11525,19,218975,0,0,"direct special shell plus sparse low14/hi5 and manual high bits 15; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:manual_exp_lt15; b14:runs=32,max=2,const=28",sub-fp16-redesc-r75,r75_sparse_low14_hi5_manual15_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus manual sign predicate and sparse residual defaults,not_run,
ex225,ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,fp16_log10_sparse_residual_minimality_recheck,sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14,direct special class shell plus manual high-bit thresholds and sparse residual defaults,yosys_abc_g_aig,ex225|fp16_log10_sparse_residual_minimality_recheck|sparse_low14_hi5_residual_defaults_with_manual_sign_and_bit14|direct_special_class_shell_plus_manual_high-bit_thresholds_and_sparse_residual_defaults|yosys_abc_g_aig|abc_xf_official_evaluate|r75_sparse_low14_hi5_manual15_14_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_sparse_low14_hi5_manual15_14_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.yosys.log,1,11572,20,231440,0,0,"direct special shell plus sparse low14/hi5 and manual high bits 15,14; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:manual_exp_lt15; b14:manual_log10_thresholds",sub-fp16-redesc-r75,r75_sparse_low14_hi5_manual15_14_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig/ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus manual high-bit thresholds and sparse residual defaults,not_run,
ex225,ex225_r75_nested_low12_hi5_directspecial_abc_g_aig,fp16_log10_special_nested_minimality_recheck,low12_hi5_nested_lut_with_run_high_bits,direct special class shell plus high-bit run trees and nested low table,yosys_abc_g_aig,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_run_high_bits|direct_special_class_shell_plus_high-bit_run_trees_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.yosys.log,1,11531,19,219089,0,0,"direct special shell plus nested low12/hi5 and manual high bits none; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",sub-fp16-redesc-r75,r75_nested_low12_hi5_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_directspecial_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus high-bit run trees and nested low table,not_run,
ex225,ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig,fp16_log10_special_nested_minimality_recheck,low12_hi5_nested_lut_with_manual_sign_only,direct special class shell plus manual sign predicate and nested low table,yosys_abc_g_aig,ex225|fp16_log10_special_nested_minimality_recheck|low12_hi5_nested_lut_with_manual_sign_only|direct_special_class_shell_plus_manual_sign_predicate_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low12_hi5_manual15_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low12_hi5_manual15_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.yosys.log,1,11540,19,219260,0,0,"direct special shell plus nested low12/hi5 and manual high bits 15; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",sub-fp16-redesc-r75,r75_nested_low12_hi5_manual15_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig/ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus manual sign predicate and nested low table,not_run,
ex225,ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig,fp16_log10_special_nested_minimality_recheck,low13_hi5_nested_lut_with_manual_bits15_14_13,direct special class shell plus manual high-bit thresholds and nested low table,yosys_abc_g_aig,ex225|fp16_log10_special_nested_minimality_recheck|low13_hi5_nested_lut_with_manual_bits15_14_13|direct_special_class_shell_plus_manual_high-bit_thresholds_and_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|r75_nested_low13_hi5_manual15_14_13_directspecial,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/verilog/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/aigs/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/logs/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.yosys.log,1,11553,19,219507,0,0,"direct special shell plus nested low13/hi5 and manual high bits 15,14,13; direct_special_shell=daz_zero_to_ninf_negative_to_nan_inf_nan_split; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_log10_thresholds; b13:manual_log10_thresholds",sub-fp16-redesc-r75,r75_nested_low13_hi5_manual15_14_13_directspecial,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig,student/runs/fp16/frontend_source_parallel_round75_20260613_1450/sub-fp16-redesc-r75/ex225/official_eval/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig/ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/candidates.csv,fp16,direct special class shell plus manual high-bit thresholds and nested low table,not_run,
ex240,ex240_ex240_r75_final_packed_mux_repo_yosys,E4M3FN packed add high byte plus low byte,ex240_r75_final_packed_mux,replace helper final sign/mag selectors and split assigns with one packed output mux,repo_yosys_frontend_default,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_final_packed_mux|replace_helper_final_sign_mag_selectors_and_split_assigns_with_one_packed_output_mux|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_final_packed_mux.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/aigs/ex240_ex240_r75_final_packed_mux_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_final_packed_mux_repo_yosys.yosys.log,1,645,45,29025,0,0,official evaluate.py OK; eval_sec=0.867; total_sec=1.404,sub-fp8-addhypot-redesc-r75,ex240_r75_final_packed_mux,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/eval/ex240_ex240_r75_final_packed_mux_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_final_packed_mux_repo_yosys.evaluate.py.log,1,13299,0,agent_shards/sub-fp8-addhypot-redesc-r75/candidates.csv,float_fp8,replace helper final sign/mag selectors and split assigns with one packed output mux,not_run,
ex240,ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys,E4M3FN packed add high byte plus low byte,ex240_r75_diff_gapcase_final_mux,case-decode diff alignment action plus packed final sign/mag mux,repo_yosys_frontend_default,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_diff_gapcase_final_mux|case_decode_diff_alignment_action_plus_packed_final_sign_mag_mux|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/verilog/ex240_r75_diff_gapcase_final_mux.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/aigs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.yosys.log,1,684,42,28728,0,0,official evaluate.py OK; eval_sec=0.870; total_sec=1.439,sub-fp8-addhypot-redesc-r75,ex240_r75_diff_gapcase_final_mux,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/eval/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.evaluate.py.log,1,13299,0,agent_shards/sub-fp8-addhypot-redesc-r75/candidates.csv,float_fp8,case-decode diff alignment action plus packed final sign/mag mux,not_run,
ex244,ex244_ex244_r75_valid_delta_bits_repo_yosys,"E4M3FN packed hypot abs(high,low)",ex244_r75_valid_delta_bits,gate individual max-plus-delta bits with the small-gap predicate after the exact delta BDD,repo_yosys_frontend_default,"ex244|E4M3FN packed hypot abs(high,low)|ex244_r75_valid_delta_bits|gate_individual_max_plus_delta_bits_with_the_small_gap_predicate_after_the_exact_delta_bdd|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/verilog/ex244_r75_valid_delta_bits.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/aigs/ex244_ex244_r75_valid_delta_bits_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_valid_delta_bits_repo_yosys.yosys.log,1,326,38,12388,0,0,official evaluate.py OK; eval_sec=0.552; total_sec=0.854,sub-fp8-addhypot-redesc-r75,ex244_r75_valid_delta_bits,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/eval/ex244_ex244_r75_valid_delta_bits_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_valid_delta_bits_repo_yosys.evaluate.py.log,1,4272,0,agent_shards/sub-fp8-addhypot-redesc-r75/candidates.csv,float_fp8,gate individual max-plus-delta bits with the small-gap predicate after the exact delta BDD,not_run,
