case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_default_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm + default + raw,field-level decode and same-gapcase constants with split diff normalizer parameter tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm + extra_share + raw,field-level decode and same-gapcase constants with split diff normalizer parameter tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm + abc_g_aig + raw,field-level decode and same-gapcase constants with split diff normalizer parameter tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm + synth_preset + raw,field-level decode and same-gapcase constants with split diff normalizer parameter tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_case_attrs_default_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_case_attrs + default + raw,field-level decode and same-gapcase constants with case attributes,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_case_attrs_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_case_attrs + extra_share + raw,field-level decode and same-gapcase constants with case attributes,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_case_attrs_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_case_attrs + abc_g_aig + raw,field-level decode and same-gapcase constants with case attributes,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_case_attrs_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_case_attrs + synth_preset + raw,field-level decode and same-gapcase constants with case attributes,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_attrs_default_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm_attrs + default + raw,field-level same-gapcase split norm tables with case attributes,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_attrs_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm_attrs + extra_share + raw,field-level same-gapcase split norm tables with case attributes,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_attrs_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm_attrs + abc_g_aig + raw,field-level same-gapcase split norm tables with case attributes,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_same_gapcase_split_norm_attrs_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_same_gapcase_split_norm_attrs + synth_preset + raw,field-level same-gapcase split norm tables with case attributes,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_compare_case_attrs_default_raw,FP8 source predicate/table restructuring,ex240_field_compare_case_attrs + default + raw,field-level decode with case attributes on source tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_compare_case_attrs_extra_share_raw,FP8 source predicate/table restructuring,ex240_field_compare_case_attrs + extra_share + raw,field-level decode with case attributes on source tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_compare_case_attrs_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_field_compare_case_attrs + abc_g_aig + raw,field-level decode with case attributes on source tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r59,ex240_ex240_field_compare_case_attrs_synth_preset_raw,FP8 source predicate/table restructuring,ex240_field_compare_case_attrs + synth_preset + raw,field-level decode with case attributes on source tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
