round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv,candidate_id,variant,aig_path,blocked_reason,next_non_repeated_route_hypothesis,evidence_path
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex223,fp16,current-best source mutation triage,multi-bit log roots or interval-correction regrouping over r86 truthroot source,shared sign-exp-mant predicates,ex223|round89_current_best_source_mutation_triage|multi_bit_log_roots_or_interval_correction_regroup|shared_sign_exp_mant_predicates|no_synth|prior_round87_round88_evidence|no_candidate_gate,BLOCKED_NO_CANDIDATE,r87 multi-bit roots were official exact but nonwinning at ADP 204440 and r88 interval screen remained dense with 9716 distinct words plus 8532 low12 mode exceptions,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex223/diagnostics/ex223_r88_blocker_evidence.md,current frontend source student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_truthroot_bit11.v; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/failed_hypotheses.csv,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex225,fp16,current-best source mutation triage,log10 root or low-bit residual regrouping over r79 source,shared sign-exp-mant predicates,ex225|round89_current_best_source_mutation_triage|log10_root_or_lowbit_residual_regroup|shared_sign_exp_mant_predicates|no_synth|prior_round87_round88_evidence|no_candidate_gate,BLOCKED_NO_CANDIDATE,r87 multi-bit roots were official exact but nonwinning at ADP 220514 and r88 interval screen remained dense with 9769 distinct words plus 8653 low12 mode exceptions,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex225/diagnostics/ex225_r88_blocker_evidence.md,current frontend source student/work/frontend_source_parallel_round79_20260613_1838/sub-fp16-source-r79/ex225/verilog/ex225_r79_split_hi3_keep_highrun.v; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/failed_hypotheses.csv,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex285,unknown,current-best source mutation triage,route-state factoring or selected route-bit replacement over decision-tree source,shared swap-popcount-layer predicates,ex285|round89_current_best_source_mutation_triage|route_state_factoring_or_selected_routebit_replacement|shared_swap_popcount_layer_predicates|no_synth|prior_round87_round88_evidence|no_candidate_gate,BLOCKED_NO_CANDIDATE,r87 route-popcount and cofactor DAGs were official exact but far worse at ADP 172480 and 708816; r88 best descriptor still had 832 keys and 1510 residual samples,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-unknown-spectral-r88/ex285/notes/high_level_dossier.md,current frontend source student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/failed_hypotheses.csv,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex288,unknown,current-best source mutation triage,keyBDD body factoring or route-edge residual replacement over keyBDD source,shared multipair symcof route predicates,ex288|round89_current_best_source_mutation_triage|keybdd_body_factoring_or_route_edge_residual_replacement|shared_multipair_symcof_route_predicates|no_synth|prior_round87_round88_evidence|no_candidate_gate,BLOCKED_NO_CANDIDATE,r87 route-popcount and cofactor DAGs were official exact but far worse at ADP 1101772 and 6583115; r88 best descriptor had 1248 keys and 27047 residual samples,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-unknown-spectral-r88/ex288/notes/high_level_dossier.md,current frontend source student/work/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6_onehot_group_keybdd_7.v; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/failed_hypotheses.csv,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex297,unknown,current-best source mutation triage,cyclic cell descriptor or pairsel cluster regrouping over r73 pairsel source,shared cell-bit descriptor roots,ex297|round89_current_best_source_mutation_triage|cyclic_cell_descriptor_or_pairsel_cluster_regroup|shared_cell_bit_descriptor_roots|no_synth|prior_round87_round88_evidence|no_candidate_gate,BLOCKED_NO_CANDIDATE,r87 tiled cofactor screen failed compact gate with 29696 keys and 6258 residual samples; r88 spectral descriptor still had 13744 keys and 2452 residual samples,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-unknown-spectral-r88/ex297/notes/high_level_dossier.md,current frontend source student/work/frontend_source_parallel_round73_20260613_1414/sub-unknown-state-r73/ex297/verilog/ex297_r73_pairsel_cell_bit_template.v; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/failed_hypotheses.csv,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex299,unknown,current-best source mutation triage,bounded celllocal bitcluster or cyclic descriptor compression over r78 pair89 source,shared sel2-celllocal-pair roots,ex299|round89_current_best_source_mutation_triage|bounded_celllocal_bitcluster_or_cyclic_descriptor_compression|shared_sel2_celllocal_pair_roots|no_synth|prior_round87_round88_evidence|no_candidate_gate,BLOCKED_NO_CANDIDATE,r87 tiled cofactor screen failed compact gate with 97280 keys and 75304 residual samples; r88 spectral descriptor still had 40503 keys and 23925 residual samples,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-unknown-spectral-r88/ex299/notes/high_level_dossier.md,current frontend source student/work/frontend_source_parallel_round78_20260613_1744/sub-unknown-bitcluster-r78/ex299/verilog/ex299_r78_static_celllocal_pair89.v; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/failed_hypotheses.csv,,,,,,
89,frontend_best_mutation_round89_20260613_2357,sub-fp8-top-mutate-r89,ex247,float_fp8,E5M2FN packed low-over-high division,round89 region mux ladder over current best source,shared denominator/numerator decode with two-stage region magnitude mux,ex247|E5M2FN packed low-over-high division|round89 region mux ladder over current best source|shared denominator/numerator decode with two-stage region magnitude mux|repo_yosys_frontend|official_evaluate|not_r87_guarded_not_r88_descriptor,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex247/verilog/ex247_r89_region_mux_ladder.v,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex247/logs/ex247_r89_region_mux_ladder.evaluate.py.log,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-top-mutate-r89/failed_hypotheses.csv,ex247_r89_region_mux_ladder,region_mux_ladder,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex247/aigs/ex247_r89_region_mux_ladder.aig,nonwinning source-boundary mutation,continue only with materially different shared predicate or semantic boundary,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex247/logs/ex247_r89_region_mux_ladder.evaluate.py.log
89,frontend_best_mutation_round89_20260613_2357,sub-fp8-top-mutate-r89,ex246,float_fp8,E5M2FN packed multiply high byte times low byte,round89 packed product decode bus over current best source,shared sign/exponent/product decode bus before product_mag mux,ex246|E5M2FN packed multiply high byte times low byte|round89 packed product decode bus over current best source|shared sign/exponent/product decode bus before product_mag mux|repo_yosys_frontend|official_evaluate|not_r87_guarded_not_r88_descriptor,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex246/verilog/ex246_r89_product_decode_bus.v,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex246/logs/ex246_r89_product_decode_bus.evaluate.py.log,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-top-mutate-r89/failed_hypotheses.csv,ex246_r89_product_decode_bus,product_decode_bus,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex246/aigs/ex246_r89_product_decode_bus.aig,nonwinning source-boundary mutation,continue only with materially different shared predicate or semantic boundary,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex246/logs/ex246_r89_product_decode_bus.evaluate.py.log
89,frontend_best_mutation_round89_20260613_2357,sub-fp8-top-mutate-r89,ex244,float_fp8,E4M3FN packed hypot abs high low,round89 ordered magnitude bus over current best source,shared ordered max/min magnitude bus feeding max_eff/gap/delta mux,ex244|E4M3FN packed hypot abs high low|round89 ordered magnitude bus over current best source|shared ordered max/min magnitude bus feeding max_eff/gap/delta mux|repo_yosys_frontend|official_evaluate|not_r87_guarded_not_r88_descriptor,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex244/verilog/ex244_r89_ordered_mag_bus.v,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex244/logs/ex244_r89_ordered_mag_bus.evaluate.py.log,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-top-mutate-r89/failed_hypotheses.csv,ex244_r89_ordered_mag_bus,ordered_mag_bus,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex244/aigs/ex244_r89_ordered_mag_bus.aig,nonwinning source-boundary mutation,continue only with materially different shared predicate or semantic boundary,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex244/logs/ex244_r89_ordered_mag_bus.evaluate.py.log
89,frontend_best_mutation_round89_20260613_2357,sub-fp8-top-mutate-r89,ex249,float_fp8,E5M2FN packed hypot abs high low,round89 ordered magnitude active-tail split over current best source,shared ordered magnitude bus plus explicit active-gap delta/saturation tail,ex249|E5M2FN packed hypot abs high low|round89 ordered magnitude active-tail split over current best source|shared ordered magnitude bus plus explicit active-gap delta/saturation tail|repo_yosys_frontend|official_evaluate|not_r87_guarded_not_r88_descriptor,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex249/verilog/ex249_r89_ordered_mag_active_tail.v,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex249/logs/ex249_r89_ordered_mag_active_tail.evaluate.py.log,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-top-mutate-r89/failed_hypotheses.csv,ex249_r89_ordered_mag_active_tail,ordered_mag_active_tail,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex249/aigs/ex249_r89_ordered_mag_active_tail.aig,nonwinning source-boundary mutation,continue only with materially different shared predicate or semantic boundary,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex249/logs/ex249_r89_ordered_mag_active_tail.evaluate.py.log
