case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass
ex223,ex223_r72_segdelta_hi7_lo3_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,fp16,not_run
ex223,ex223_r72_low9_flat_highruns_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,fp16,not_run
ex225,ex225_r72_segdelta_hi7_lo3_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,fp16,not_run
ex225,ex225_r72_low9_flat_highruns_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,fp16,not_run
ex260,ex260_r72_shared_anf_allbits_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,integer,not_run
ex260,ex260_r72_lowcols_highanf_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,integer,not_run
ex266,ex266_r72_shared_mult_qbits_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,integer,not_run
ex266,ex266_r72_wordmux_q43_replace_synth_preset_d18,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,integer,not_run
ex240,ex240_r72_normfield_shell_abs,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
ex240,ex240_r72_normcarry_rel,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
ex245,ex245_r72_normfield_shell_abs,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
