case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,domain,hypothesis,representation,shared_structure,observed_sharing,area_delay_tradeoff,shard_csv,round,run_id,key_width,key_count,family,outcome,prior_low_value_signatures_avoided,status,evidence_path
ex223,,,,,,,ex223|fp16_log_family_action_range_decode|whole_output_mantissa_run_actions|shared_special_shell_per_exp_balanced_action_tree|abc_g_aig|abc_xf_official_evaluate|r73_action_range_decode,sub-fp16-int-semantic-r73,frontend/source-only; no backend portfolio,fp16,fp16 log-family semantic action decode,special class shell plus balanced whole-output mantissa action ranges,shared special decode and per-exponent action range tree,positive-normal whole-output action ranges; exp_groups=30; total_word_runs=9736; max_runs_per_exp=1024,area=19162; delay=30; adp=574860,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/shared_structure_report.csv,,,,,,,,,
ex225,,,,,,,ex225|fp16_log_family_action_range_decode|whole_output_mantissa_run_actions|shared_special_shell_per_exp_balanced_action_tree|abc_g_aig|abc_xf_official_evaluate|r73_action_range_decode,sub-fp16-int-semantic-r73,frontend/source-only; no backend portfolio,fp16,fp16 log-family semantic action decode,special class shell plus balanced whole-output mantissa action ranges,shared special decode and per-exponent action range tree,positive-normal whole-output action ranges; exp_groups=30; total_word_runs=9791; max_runs_per_exp=1024,area=21044; delay=30; adp=631320,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/shared_structure_report.csv,,,,,,,,,
ex260,,,,,,,ex260|signed_operand_action_decode|b_action_affine|shared_affine_shift_add_actions|abc_g_aig|signed_low4_high4_multiply|r73_b_action_affine,sub-fp16-int-semantic-r73,frontend/source-only; no backend portfolio,integer,signed multiply operand action decode,b_action_affine,one operand action case shared across all product bits,signed multiplier decoded as affine actions of a; no Baugh-Wooley/Booth rows,area=190; delay=10; adp=1900,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/shared_structure_report.csv,,,,,,,,,
ex260,,,,,,,ex260|signed_operand_action_decode|a_action_affine|shared_affine_shift_add_actions|abc_g_aig|signed_low4_high4_multiply|r73_a_action_affine,sub-fp16-int-semantic-r73,frontend/source-only; no backend portfolio,integer,signed multiply operand action decode,a_action_affine,one operand action case shared across all product bits,signed multiplicand decoded as affine actions of b; symmetry check outside row/compressor families,area=190; delay=10; adp=1900,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/shared_structure_report.csv,,,,,,,,,
ex266,,,,,,,ex266|bounded_quotient_action_decode|divisor_action_ranges|operand_keyed_quotient_action_ranges|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|r73_divisor_action_ranges,sub-fp16-int-semantic-r73,frontend/source-only; no backend portfolio,integer,bounded quotient action decode,divisor_action_ranges,operand-keyed quotient action range tree,divisor-keyed bounded quotient action ranges; total_runs=144,area=227; delay=12; adp=2724,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/shared_structure_report.csv,,,,,,,,,
ex266,,,,,,,ex266|bounded_quotient_action_decode|dividend_action_ranges|operand_keyed_quotient_action_ranges|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|r73_dividend_action_ranges,sub-fp16-int-semantic-r73,frontend/source-only; no backend portfolio,integer,bounded quotient action decode,dividend_action_ranges,operand-keyed quotient action range tree,dividend-keyed bounded quotient action ranges over nonzero divisors; total_runs=226,area=299; delay=14; adp=4186,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/shared_structure_report.csv,,,,,,,,,
ex240,ex240_r73_action_id_signmag_decode,,,,,,,sub-fp8-mid-classes-r73,compact action id drives final output decode,float_fp8,E4M3FN packed add high byte plus low byte,compact add action-id decode over shared same/diff sign-magnitude paths,shared sorted E4M3 field decode; same-sign GRS path; diff-sign compact normalizer; 5-action output decoder,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-mid-classes-r73/shared_structure_report.csv,round73,frontend_source_parallel_round73_20260613_1414,3,5,,,,,
ex241,ex241_r73_mul_action_magnitude_decode,,,,,,,sub-fp8-mid-classes-r73,compact action id drives final output decode,float_fp8,E4M3FN packed multiply high byte times low byte,compact multiply action-id decode over product magnitude table,"shared sign xor, effective exponent sum, 4x4 product, product magnitude table, 4-action output decoder",,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-mid-classes-r73/shared_structure_report.csv,round73,frontend_source_parallel_round73_20260613_1414,2,4,,,,,
ex245,ex245_r73_add_action_region_decode,,,,,,,sub-fp8-mid-classes-r73,compact action id drives final output decode,float_fp8,E5M2FN packed add high byte plus low byte,compact add action-id decode over same/diff active-region tables,shared sorted E5M2 field decode; same/diff small-gap class tables; 4-action output decoder,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-mid-classes-r73/shared_structure_report.csv,round73,frontend_source_parallel_round73_20260613_1414,2,4,,,,,
ex244,ex244_r73_gap_run_action_encoder,"E4M3FN packed hypot abs(high,low)",max/min magnitude decode; gap_lt3; sig4(max/min); action_delta reused by output bits,full 8-bit output through shared action decode,few shared class/action wires reused by output decode,331/36/11916,"ex244|E4M3FN packed hypot abs(high,low)|gap/max-sig action encoder with min-sig threshold runs|shared abs max/min decode, effective exponent gap, sig4 class wires, one delta action encoder|repo_yosys_frontend_default|official_evaluate|full_word",sub-fp8-worst-classes-r73,official evaluate.py OK; frontend_base=9120; overall_target=8928; reference=4272,float_fp8,"E4M3FN packed hypot abs(high,low)",gap/max-sig action encoder with min-sig threshold runs,max/min magnitude decode; gap_lt3; sig4(max/min); action_delta reused by output bits,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-worst-classes-r73/shared_structure_report.csv,,,,,compact_class_action,equivalent_nonwinning,"avoids r65 reachable-state classifier, r69 current-copy factoring, r70 truth-mined bit predicates, r71 ROM repairs, r72 square-score classifier",equivalent_nonwinning,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex244/logs/ex244_r73_gap_run_action_encoder.evaluate.py.log
